CHROMATOGRAM
D:\KP4_cells\20260221_Neg_H2O2QC_PRM_1.raw
Data points: 5520
Time(min),Intensity
0.507384584,0
0.511910734,0
0.516437333,0
0.520963468,0
0.525489419,0
0.53001605,0
0.534541783,0
0.539068716,0
0.543594282,0
0.548120969,0
0.552646452,0
0.557173051,0
0.561698617,0
0.566225216,0
0.570751283,0
0.575261368,0
0.579770217,0
0.584280484,0
0.588789651,0
0.593299033,0
0.597808502,0
0.602318169,0
0.606827332,0
0.611337083,0
0.61584625,0
0.620360249,0
0.624873783,0
0.629387233,0
0.633900652,0
0.638414067,0
0.64292745,0
0.647441234,0
0.651954716,0
0.656468,0
0.660981402,0
0.665493502,0
0.670005585,0
0.674517585,0
0.679029482,0
0.683541999,0
0.688054217,0
0.692565967,0
0.697078301,0
0.701590166,0
0.706103168,0
0.710615052,0
0.715126917,0
0.719638866,0
0.724150782,0
0.728662886,0
0.733174886,0
0.737686985,0
0.742198485,0
0.74671035,0
0.7512226,0
0.755734366,0
0.760246251,0
0.764759069,0
0.769271133,0
0.773783169,0
0.77829555,0
0.78280765,0
0.787320151,0
0.791833319,0
0.796344918,0
0.800857816,0
0.805369967,0
0.809882436,0
0.814394066,0
0.818906217,0
0.823417951,0
0.827929518,0
0.832441936,0
0.836954536,0
0.84146615,0
0.845978949,0
0.850491652,0
0.855004117,0
0.859517202,0
0.864029302,0
0.868542899,0
0.873055984,0
0.877568517,0
0.882081085,0
0.88659475,0
0.89110555,0
0.895617065,0
0.900128549,0
0.90463985,0
0.909151182,0
0.913662602,0
0.918174066,0
0.922685184,0
0.927196484,0
0.931707718,0
0.936219102,0
0.940730402,0
0.945243499,0
0.949754717,0
0.954266216,0
0.958777735,0
0.963289199,0
0.967800317,0
0.972312218,0
0.976823153,0
0.981335618,0
0.985847216,0
0.990358819,0
0.994870617,0
0.999382001,0
1.0038929,0
1.008405182,0
1.012916868,0
1.017427752,0
1.021939168,0
1.026451251,0
1.030963267,0
1.035475367,0
1.039986882,0
1.044498835,0
1.049010966,0
1.053523451,0
1.058035367,0
1.062547367,0
1.067059065,0
1.07157155,0
1.076083451,0
1.080595566,0
1.085107201,0
1.08961965,0
1.094132266,0
1.098644016,0
1.103155833,0
1.107668735,0
1.112180386,0
1.1166933,0
1.121206186,0
1.125720002,0
1.130232618,0
1.134745099,0
1.139257719,0
1.143770549,0
1.148283249,0
1.152796167,0
1.157308882,0
1.161820735,0
1.166332751,0
1.170843869,0
1.175356,0
1.179867667,0
1.184379369,0
1.188890669,0
1.193402467,0
1.197914467,0
1.202426383,0
1.206937851,0
1.211450133,0
1.215961966,0
1.220473132,0
1.224985033,0
1.2294971,0
1.234008866,0
1.238520485,0
1.243032151,0
1.247543833,0
1.25205515,0
1.256566983,0
1.261078586,0
1.265590216,0
1.270101585,0
1.274613219,0
1.279124917,0
1.283636285,0
1.2881479,0
1.292660333,0
1.297172099,0
1.301683952,0
1.306195702,0
1.3107079,0
1.315219801,0
1.319730983,0
1.324243201,0
1.328754717,0
1.333267885,0
1.337779432,0
1.3422908,0
1.346801469,0
1.351312834,0
1.355823733,0
1.360335216,0
1.364846382,0
1.369357834,0
1.373868769,0
1.378379768,0
1.382891919,0
1.387403851,0
1.391914385,0
1.396425769,0
1.400937165,0
1.405448184,0
1.409959318,0
1.414471167,0
1.418982317,0
1.423493784,0
1.428004715,0
1.4325178,0
1.437029967,0
1.441542265,0
1.446054516,0
1.450566969,0
1.455080582,0
1.459593067,0
1.4641056,0
1.468617985,0
1.473129818,0
1.477642252,0
1.48215335,0
1.486664635,0
1.491175852,0
1.495687466,0
1.500199184,0
1.504710485,0
1.509221802,0
1.513733202,0
1.518244101,0
1.522757667,0
1.5272713,0
1.531784349,0
1.536298066,0
1.540811636,0
1.545324768,0
