"Polarity","Adduct.type","Average.Rt.min.","Average.Mz","Metabolite.curated","Ontology","Alignment.ID"
"Neg","[M-H]-",7.176,255.2327,"FA 16:0","FA",4114
"Neg","[M-H]-",7.733,253.2173,"FA 16:1","FA",4029
"Neg","[M-H]-",8.023,255.23289,"FA 16:0","FA",4116
"Neg","[M-H]-",8.273,281.24854,"FA 18:1","FA",5531
"Neg","[M-H]-",8.96,281.24863,"FA 18:1","FA",5534
"Neg","[M-H]-",9.226,283.26422,"FA 18:0","FA",5616
"Pos","[M+NH4]+",13.322,634.54065,"DG 18:2_18:2","DG",27603
"Pos","[M+NH4]+",13.962,660.55634,"DG 16:0_22:5","DG",29647
"Pos","[M+NH4]+",13.992,558.50922,"DG 14:0_16:0","DG",21835
"Pos","[M+NH4]+",14.032,686.5719,"DG 18:1_22:5","DG",31945
"Pos","[M+NH4]+",14.079,584.52515,"DG 16:0_16:1","DG",23689
"Pos","[M+NH4]+",14.183,610.54053,"DG 16:1_18:1","DG",25721
"Pos","[M+NH4]+",14.391,636.55518,"DG 18:1_18:2","DG",27768
"Pos","[M+NH4]+",14.486,636.55579,"DG 18:1_18:2","DG",27770
"Pos","[M+NH4]+",14.768,598.54077,"DG 16:0_17:1","DG",24764
"Pos","[M+NH4]+",15.263,662.57202,"DG 18:0_20:4","DG",29821
"Pos","[M+NH4]+",15.297,688.58765,"DG 18:0_22:5","DG",32125
"Pos","[M+NH4]+",15.303,586.54077,"DG 16:0_16:0","DG",23818
"Pos","[M+NH4]+",15.354,688.5874,"DG 18:0_22:5","DG",32122
"Pos","[M+NH4]+",15.383,662.5719,"DG 18:0_20:4","DG",29820
"Pos","[M+NH4]+",15.449,612.55621,"DG 16:0_18:1","DG",25882
"Pos","[M+NH4]+",15.558,638.5719,"DG 18:1_18:1","DG",27948
"Pos","[M+NH4]+",15.756,664.58777,"DG 18:1_20:2","DG",30014
"Pos","[M+NH4]+",16.044,664.5874,"DG 18:0_20:3","DG",30011
"Pos","[M+NH4]+",16.174,626.5719,"DG 16:0_19:1","DG",26988
"Pos","[M+NH4]+",16.285,652.58752,"DG 18:1_19:1","DG",29014
"Pos","[M+NH4]+",16.833,614.5719,"DG 16:0_18:0","DG",26055
"Pos","[M+NH4]+",16.969,640.58765,"DG 18:0_18:1","DG",28101
"Pos","[M+NH4]+",17.049,666.60358,"DG 18:1_20:1","DG",30208
