"Polarity","Adduct.type","Average.Rt.min.","Metabolite.curated","Ontology","Fenton_0h_1","Fenton_0h_2","Fenton_0h_3","Fenton_1min_1","Fenton_1min_2","Fenton_1min_3","Fenton_20min_1","Fenton_20min_2","Fenton_20min_3","Fenton_4h_1","Fenton_4h_2","Fenton_4h_3","Fenton_24h_1","Fenton_24h_2","Fenton_24h_3","Fenton_72h_1","Fenton_72h_2","Fenton_72h_3"
"Pos","[M+NH4]+",23.005,"CE 18:1(d7)","CE",861987,608235,747143,0,0,0,290417,315269,309974,452677,356216,456301,295748,547115,430843,408799,286655,349264
"Neg","[M-H]-",21.84,"CL 18:2_18:2_18:2_18:2(d5)","CL",2716177,1688083,2858845,0,6776,4057,2972087,3097056,336899,5222065,1264273,6265024,1927460,8007992,6724948,6169786,9182766,7059326
"Neg","[M+HCOO]-",12.579,"Cer 18:1(d7);2O/15:0","Cer",49921820,42127127,41125206,3338537,2932705,4207538,14395269,14149590,14385419,11902174,17260729,15565650,8820190,12553438,10621485,10065255,17840674,15151618
"Pos","[M+NH4]+",14.723,"DG 15:0_18:1(d7)","DG",29090406,23001651,26403296,2193742,1318334,1290157,17193634,18117379,17908156,28213924,26377428,25896176,20302196,27314616,21697643,25223753,24875493,19734392
"Neg","[M-H]-",8.197,"FA 18:1(d17)","FA",1879048,1620020,1969843,93066,40576,38837,311751,477711,335267,1275134,1038823,1359746,984446,1641742,856057,1622105,1452777,1459356
"Pos","[M+H]+",3.148,"LPC 18:1(d7)","LPC",85988381,75247362,75270837,343052,19867,6779,562791,767790,697468,22546757,21702722,24505961,24788228,29532430,25165984,26364157,33248442,41362254
"Neg","[M-H]-",3.086,"LPE 18:1(d7)","LPE",11008330,15178491,28200045,49459,0,1679,93097,307429,105768,2443882,1267049,1401745,2615990,3113704,2233531,3372056,2049965,5592494
"Pos","[M+H]+",3.1,"LPE 18:1(d7)","LPE",33320722,30060707,31074355,157769,2655,0,292139,475044,310930,4153110,3540809,4685990,4260333,5571235,4328268,5471774,6159446,10633543
"Neg","[M+HCOO]-",12.946,"PC 15:0_18:1(d7)","PC",17599594,14278817,15968513,367700,160861,241147,5995176,6685635,5884412,7471651,11567115,10814719,6100311,8507218,6794478,7386936,10571501,9335456
"Pos","[M+H]+",12.965,"PC 15:0_18:1(d7)","PC",176760318,150394614,151178345,2757979,1617750,1682887,41992830,45919422,41453546,78615035,72384166,75213111,57588610,78564055,64878864,72575206,72771049,71688785
