"Polarity","Adduct.type","Average.Rt.min.","Metabolite.curated","Ontology","ML210_0min_1","ML210_0min_2","ML210_0min_3","ML210_20min_1","ML210_20min_2","ML210_20min_3","ML210_45min_1","ML210_45min_2","ML210_45min_3","ML210_80min_1","ML210_80min_2","ML210_80min_3","ML210_120min_1","ML210_120min_2","ML210_120min_3","ML210_270min_1","ML210_270min_2","ML210_270min_3"
"Pos","[M+NH4]+",23.005,"CE 18:1(d7)","CE",326150,362317,267879,287557,318621,481454,393832,460228,354802,419516,366233,405967,343017,469868,389443,222816,299397,299260
"Neg","[M-H]-",21.84,"CL 18:2_18:2_18:2_18:2(d5)","CL",1459992,1809900,1528738,1350039,905153,2368018,1547468,1393610,1381763,1483597,1150607,1905246,1983772,1840230,1397738,952794,1511824,1193348
"Neg","[M+HCOO]-",12.579,"Cer 18:1(d7);2O/15:0","Cer",29653511,28743931,28285143,28965034,27392644,30618140,28242374,27854864,30216057,26517607,29661359,28267055,27016274,28645148,27872976,20527949,27619939,25493319
"Pos","[M+NH4]+",14.723,"DG 15:0_18:1(d7)","DG",21431992,22395897,22035638,19264943,18164097,24603921,22162986,23100991,22258112,21966333,19267502,23218684,21760972,23184190,19440755,16335940,21435766,19016477
"Neg","[M-H]-",8.197,"FA 18:1(d17)","FA",941122,898392,926287,891644,849760,907715,987294,906397,858130,864752,922186,856389,825790,931420,909761,717237,963623,912081
"Pos","[M+H]+",3.148,"LPC 18:1(d7)","LPC",80752019,76427724,83503792,75420428,74301129,79571426,77413478,77580893,79782143,74959380,77197032,74910295,69315900,76050812,73976623,62175981,76641180,71705690
"Neg","[M-H]-",3.086,"LPE 18:1(d7)","LPE",17037361,16291627,16596774,16324238,14181929,17082374,16291419,15503871,16178196,15052217,16278959,15989697,15767784,16023569,15954840,12633312,16052700,14823334
"Pos","[M+H]+",3.1,"LPE 18:1(d7)","LPE",35011421,33979337,36042153,33242301,30151662,35350333,34200758,33118349,34095125,32237234,33653569,33896003,31415517,33640360,32804392,28298564,34412131,31095976
"Neg","[M+HCOO]-",12.946,"PC 15:0_18:1(d7)","PC",14051766,13279063,13147229,13627865,12427189,14105756,13237202,13317164,13555225,12751334,13379854,13059162,12802012,13304751,13285347,10283389,13531558,12165721
"Pos","[M+H]+",12.965,"PC 15:0_18:1(d7)","PC",135875927,135275209,140378976,134296785,126876475,138694071,138625416,135222158,140814548,134595371,138881560,132920850,121540234,135755632,129594806,102533926,130362265,114890109
"Neg","[M-H]-",13.064,"PE 15:0_18:1(d7)","PE",18255556,18019072,17966998,17412768,15770956,18991145,17670297,16992824,18192771,16917935,17504186,17377107,17027832,18072992,16983071,13322493,17560893,15919457
"Pos","[M+H]+",13.067,"PE 15:0_18:1(d7)","PE",42148914,41796852,44017678,40501717,38137716,44073097,41197316,41234439,41662959,39600810,39458244,40942368,39698288,43334491,40313234,34987890,42606995,37071743
"Neg","[M-H]-",12.172,"PG 15:0_18:1(d7)","PG",15349697,15850991,15840440,14109891,11302993,17697506,15757130,13502309,15179701,13982547,13597133,15612003,15543354,15466883,13315405,10945807,14130587,12092939
"Neg","[M-H]-",11.913,"PI 15:0_18:1(d7)","PI",3081394,4313171,4417549,2940727,2037557,6282002,4013460,3012499,3370685,2972799,2801244,4640300,4068040,3511066,2695948,1960641,2363163,1944194
"Neg","[M-H]-",12.261,"PS 15:0_18:1(d7)","PS",2086081,2511347,2095483,2440271,2187114,2500731,2511969,2179724,2558217,2315488,2757648,2515408,2277834,2052129,2319867,1342381,1642380,1588741
"Neg","[M+HCOO]-",12.345,"SM 18:1;2O/18:1(d9)","SM",17595799,17514191,16843488,17185117,15512188,17879417,16412675,15994903,16950952,16426056,16823667,16103843,16176233,16464311,16469210,13734923,17292204,15812368
"Pos","[M+H-H2O]+",11.022,"ST 27:1;O(d7)","ST",344061,309525,353293,294278,314107,286529,338445,305912,359124,303216,408970,334655,272684,331028,316394,252587,340902,306524
"Pos","[M+NH4]+",22.756,"TG 15:0_18:1(d7)_15:0","TG",16768109,18498008,16765407,16375185,14200732,22539343,17567264,19526747,16712587,19596457,16057106,20880367,18976529,21803796,17807206,13467887,18428794,16558560
"Neg","[M-H]-",13.064,"PE 15:0_18:1(d7)","EtherPE",18255556,18019072,17966998,17412768,15770956,18991145,17670297,16992824,18192771,16917935,17504186,17377107,17027832,18072992,16983071,13322493,17560893,15919457
"Pos","[M+H]+",13.067,"PE 15:0_18:1(d7)","EtherPE",42148914,41796852,44017678,40501717,38137716,44073097,41197316,41234439,41662959,39600810,39458244,40942368,39698288,43334491,40313234,34987890,42606995,37071743
"Neg","[M-H]-",3.086,"LPE 18:1(d7)","EtherLPE",17037361,16291627,16596774,16324238,14181929,17082374,16291419,15503871,16178196,15052217,16278959,15989697,15767784,16023569,15954840,12633312,16052700,14823334
"Pos","[M+H]+",3.1,"LPE 18:1(d7)","EtherLPE",35011421,33979337,36042153,33242301,30151662,35350333,34200758,33118349,34095125,32237234,33653569,33896003,31415517,33640360,32804392,28298564,34412131,31095976
"Neg","[M+HCOO]-",12.946,"PC 15:0_18:1(d7)","EtherPC",14051766,13279063,13147229,13627865,12427189,14105756,13237202,13317164,13555225,12751334,13379854,13059162,12802012,13304751,13285347,10283389,13531558,12165721
"Pos","[M+H]+",12.965,"PC 15:0_18:1(d7)","EtherPC",135875927,135275209,140378976,134296785,126876475,138694071,138625416,135222158,140814548,134595371,138881560,132920850,121540234,135755632,129594806,102533926,130362265,114890109
"Pos","[M+H]+",3.148,"LPC 18:1(d7)","EtherLPC",80752019,76427724,83503792,75420428,74301129,79571426,77413478,77580893,79782143,74959380,77197032,74910295,69315900,76050812,73976623,62175981,76641180,71705690
"Neg","[M-H]-",12.172,"PG 15:0_18:1(d7)","EtherPG",15349697,15850991,15840440,14109891,11302993,17697506,15757130,13502309,15179701,13982547,13597133,15612003,15543354,15466883,13315405,10945807,14130587,12092939
"Neg","[M-H]-",11.913,"PI 15:0_18:1(d7)","EtherPI",3081394,4313171,4417549,2940727,2037557,6282002,4013460,3012499,3370685,2972799,2801244,4640300,4068040,3511066,2695948,1960641,2363163,1944194
"Neg","[M-H]-",12.261,"PS 15:0_18:1(d7)","EtherPS",2086081,2511347,2095483,2440271,2187114,2500731,2511969,2179724,2558217,2315488,2757648,2515408,2277834,2052129,2319867,1342381,1642380,1588741
"Neg","[M-H]-",13.064,"PE 15:0_18:1(d7)","OxEtherPE",18255556,18019072,17966998,17412768,15770956,18991145,17670297,16992824,18192771,16917935,17504186,17377107,17027832,18072992,16983071,13322493,17560893,15919457
"Pos","[M+H]+",13.067,"PE 15:0_18:1(d7)","OxEtherPE",42148914,41796852,44017678,40501717,38137716,44073097,41197316,41234439,41662959,39600810,39458244,40942368,39698288,43334491,40313234,34987890,42606995,37071743
"Neg","[M-H]-",3.086,"LPE 18:1(d7)","OxEtherLPE",17037361,16291627,16596774,16324238,14181929,17082374,16291419,15503871,16178196,15052217,16278959,15989697,15767784,16023569,15954840,12633312,16052700,14823334
"Pos","[M+H]+",3.1,"LPE 18:1(d7)","OxEtherLPE",35011421,33979337,36042153,33242301,30151662,35350333,34200758,33118349,34095125,32237234,33653569,33896003,31415517,33640360,32804392,28298564,34412131,31095976
"Neg","[M+HCOO]-",12.946,"PC 15:0_18:1(d7)","OxEtherPC",14051766,13279063,13147229,13627865,12427189,14105756,13237202,13317164,13555225,12751334,13379854,13059162,12802012,13304751,13285347,10283389,13531558,12165721
"Pos","[M+H]+",12.965,"PC 15:0_18:1(d7)","OxEtherPC",135875927,135275209,140378976,134296785,126876475,138694071,138625416,135222158,140814548,134595371,138881560,132920850,121540234,135755632,129594806,102533926,130362265,114890109
"Pos","[M+H]+",3.148,"LPC 18:1(d7)","OxEtherLPC",80752019,76427724,83503792,75420428,74301129,79571426,77413478,77580893,79782143,74959380,77197032,74910295,69315900,76050812,73976623,62175981,76641180,71705690
"Neg","[M-H]-",12.172,"PG 15:0_18:1(d7)","OxEtherPG",15349697,15850991,15840440,14109891,11302993,17697506,15757130,13502309,15179701,13982547,13597133,15612003,15543354,15466883,13315405,10945807,14130587,12092939
"Neg","[M-H]-",11.913,"PI 15:0_18:1(d7)","OxEtherPI",3081394,4313171,4417549,2940727,2037557,6282002,4013460,3012499,3370685,2972799,2801244,4640300,4068040,3511066,2695948,1960641,2363163,1944194
"Neg","[M-H]-",12.261,"PS 15:0_18:1(d7)","OxEtherPS",2086081,2511347,2095483,2440271,2187114,2500731,2511969,2179724,2558217,2315488,2757648,2515408,2277834,2052129,2319867,1342381,1642380,1588741
"Pos","[M+H]+",3.148,"LPC 18:1(d7)","OxLPC",80752019,76427724,83503792,75420428,74301129,79571426,77413478,77580893,79782143,74959380,77197032,74910295,69315900,76050812,73976623,62175981,76641180,71705690
"Neg","[M-H]-",3.086,"LPE 18:1(d7)","OxLPE",17037361,16291627,16596774,16324238,14181929,17082374,16291419,15503871,16178196,15052217,16278959,15989697,15767784,16023569,15954840,12633312,16052700,14823334
"Pos","[M+H]+",3.1,"LPE 18:1(d7)","OxLPE",35011421,33979337,36042153,33242301,30151662,35350333,34200758,33118349,34095125,32237234,33653569,33896003,31415517,33640360,32804392,28298564,34412131,31095976
"Neg","[M+HCOO]-",12.946,"PC 15:0_18:1(d7)","OxPC",14051766,13279063,13147229,13627865,12427189,14105756,13237202,13317164,13555225,12751334,13379854,13059162,12802012,13304751,13285347,10283389,13531558,12165721
"Pos","[M+H]+",12.965,"PC 15:0_18:1(d7)","OxPC",135875927,135275209,140378976,134296785,126876475,138694071,138625416,135222158,140814548,134595371,138881560,132920850,121540234,135755632,129594806,102533926,130362265,114890109
