"Polarity","Adduct.type","Average.Rt.min.","Metabolite.curated","Ontology","ML210_2XQC_1","ML210_2XQC_2","ML210_2XQC_3","ML210_2XQC_4","ML210_2XQC_5"
"Pos","[M+NH4]+",23.005,"CE 18:1(d7)","CE",877628,780606,793850,780551,865394
"Neg","[M-H]-",21.84,"CL 18:2_18:2_18:2_18:2(d5)","CL",3008046,3157797,3210849,3363272,3318652
"Neg","[M+HCOO]-",12.579,"Cer 18:1(d7);2O/15:0","Cer",61063040,61868337,64774579,68916703,67492374
"Pos","[M+NH4]+",14.723,"DG 15:0_18:1(d7)","DG",43163525,41977904,42332592,41324770,40846130
"Neg","[M-H]-",8.197,"FA 18:1(d17)","FA",2188047,2094405,2304128,2354844,2324732
"Pos","[M+H]+",3.148,"LPC 18:1(d7)","LPC",144743279,144639297,145557836,147525891,150069765
"Neg","[M-H]-",3.086,"LPE 18:1(d7)","LPE",31476335,31825727,33056109,35175008,34010647
"Pos","[M+H]+",3.1,"LPE 18:1(d7)","LPE",62161532,62663603,62736858,62865723,64046022
"Neg","[M+HCOO]-",12.946,"PC 15:0_18:1(d7)","PC",26208664,25485237,27264245,28428397,27527767
"Pos","[M+H]+",12.965,"PC 15:0_18:1(d7)","PC",265977975,267923404,270758408,270336661,278761328
"Neg","[M-H]-",13.064,"PE 15:0_18:1(d7)","PE",32533329,32013655,33933879,34581091,34701688
"Pos","[M+H]+",13.067,"PE 15:0_18:1(d7)","PE",69601679,70387321,74519927,69832765,71329430
"Neg","[M-H]-",12.172,"PG 15:0_18:1(d7)","PG",30013654,30029522,30913862,33735893,32826939
"Neg","[M-H]-",11.913,"PI 15:0_18:1(d7)","PI",7492798,7009345,7767559,7925522,8117884
"Neg","[M-H]-",12.261,"PS 15:0_18:1(d7)","PS",4354409,4076636,4060906,4272850,4386605
"Neg","[M+HCOO]-",12.345,"SM 18:1;2O/18:1(d9)","SM",30660386,31516092,31312619,34685799,33537849
"Pos","[M+H-H2O]+",11.022,"ST 27:1;O(d7)","ST",583835,652285,631183,616290,744717
"Pos","[M+NH4]+",22.756,"TG 15:0_18:1(d7)_15:0","TG",37117413,36893173,36136804,36516548,37639544
"Neg","[M-H]-",13.064,"PE 15:0_18:1(d7)","EtherPE",32533329,32013655,33933879,34581091,34701688
"Pos","[M+H]+",13.067,"PE 15:0_18:1(d7)","EtherPE",69601679,70387321,74519927,69832765,71329430
"Neg","[M-H]-",3.086,"LPE 18:1(d7)","EtherLPE",31476335,31825727,33056109,35175008,34010647
"Pos","[M+H]+",3.1,"LPE 18:1(d7)","EtherLPE",62161532,62663603,62736858,62865723,64046022
"Neg","[M+HCOO]-",12.946,"PC 15:0_18:1(d7)","EtherPC",26208664,25485237,27264245,28428397,27527767
"Pos","[M+H]+",12.965,"PC 15:0_18:1(d7)","EtherPC",265977975,267923404,270758408,270336661,278761328
"Pos","[M+H]+",3.148,"LPC 18:1(d7)","EtherLPC",144743279,144639297,145557836,147525891,150069765
"Neg","[M-H]-",12.172,"PG 15:0_18:1(d7)","EtherPG",30013654,30029522,30913862,33735893,32826939
"Neg","[M-H]-",11.913,"PI 15:0_18:1(d7)","EtherPI",7492798,7009345,7767559,7925522,8117884
"Neg","[M-H]-",12.261,"PS 15:0_18:1(d7)","EtherPS",4354409,4076636,4060906,4272850,4386605
"Neg","[M-H]-",13.064,"PE 15:0_18:1(d7)","OxEtherPE",32533329,32013655,33933879,34581091,34701688
"Pos","[M+H]+",13.067,"PE 15:0_18:1(d7)","OxEtherPE",69601679,70387321,74519927,69832765,71329430
"Neg","[M-H]-",3.086,"LPE 18:1(d7)","OxEtherLPE",31476335,31825727,33056109,35175008,34010647
"Pos","[M+H]+",3.1,"LPE 18:1(d7)","OxEtherLPE",62161532,62663603,62736858,62865723,64046022
"Neg","[M+HCOO]-",12.946,"PC 15:0_18:1(d7)","OxEtherPC",26208664,25485237,27264245,28428397,27527767
"Pos","[M+H]+",12.965,"PC 15:0_18:1(d7)","OxEtherPC",265977975,267923404,270758408,270336661,278761328
"Pos","[M+H]+",3.148,"LPC 18:1(d7)","OxEtherLPC",144743279,144639297,145557836,147525891,150069765
"Neg","[M-H]-",12.172,"PG 15:0_18:1(d7)","OxEtherPG",30013654,30029522,30913862,33735893,32826939
"Neg","[M-H]-",11.913,"PI 15:0_18:1(d7)","OxEtherPI",7492798,7009345,7767559,7925522,8117884
"Neg","[M-H]-",12.261,"PS 15:0_18:1(d7)","OxEtherPS",4354409,4076636,4060906,4272850,4386605
"Pos","[M+H]+",3.148,"LPC 18:1(d7)","OxLPC",144743279,144639297,145557836,147525891,150069765
"Neg","[M-H]-",3.086,"LPE 18:1(d7)","OxLPE",31476335,31825727,33056109,35175008,34010647
"Pos","[M+H]+",3.1,"LPE 18:1(d7)","OxLPE",62161532,62663603,62736858,62865723,64046022
"Neg","[M+HCOO]-",12.946,"PC 15:0_18:1(d7)","OxPC",26208664,25485237,27264245,28428397,27527767
"Pos","[M+H]+",12.965,"PC 15:0_18:1(d7)","OxPC",265977975,267923404,270758408,270336661,278761328
"Neg","[M-H]-",13.064,"PE 15:0_18:1(d7)","OxPE",32533329,32013655,33933879,34581091,34701688
"Pos","[M+H]+",13.067,"PE 15:0_18:1(d7)","OxPE",69601679,70387321,74519927,69832765,71329430
"Neg","[M-H]-",12.172,"PG 15:0_18:1(d7)","OxPG",30013654,30029522,30913862,33735893,32826939
"Neg","[M-H]-",11.913,"PI 15:0_18:1(d7)","OxPI",7492798,7009345,7767559,7925522,8117884
"Neg","[M-H]-",12.261,"PS 15:0_18:1(d7)","OxPS",4354409,4076636,4060906,4272850,4386605
