"Polarity","Alignment.ID","Adduct.type","Average.Rt.min.","Metabolite.curated","Ontology","Fenton_0h_1","Fenton_0h_2","Fenton_0h_3","Fenton_1min_1","Fenton_1min_2","Fenton_1min_3","Fenton_20min_1","Fenton_20min_2","Fenton_20min_3","Fenton_4h_1","Fenton_4h_2","Fenton_4h_3","Fenton_24h_1","Fenton_24h_2","Fenton_24h_3","Fenton_72h_1","Fenton_72h_2","Fenton_72h_3"
"Neg",61180,"[M-H]-",23.249,"CL 14:0_16:0_16:0_18:1","CL",274746,278053,249638,0,0,0,7697,18941,0,4135,0,0,0,0,0,0,0,0
"Neg",61102,"[M-H]-",22.147,"CL 14:0_16:1_16:1_18:1","CL",540184,440012,413078,0,3230,0,22505,37123,0,0,0,0,0,0,0,3217,5178,0
"Neg",61146,"[M-H]-",22.722,"CL 14:0_18:1_16:0_16:1","CL",363782,413445,376937,0,0,10523,5444,37028,0,0,0,0,0,0,4140,0,0,0
"Neg",62045,"[M-H]-",23.48,"CL 15:0_18:1_16:0_18:1","CL",268809,226640,170096,0,0,0,4203,5613,0,0,0,0,0,0,0,0,0,0
"Neg",61787,"[M-H]-",23.729,"CL 16:0_16:0_16:0_18:1","CL",619469,556205,492161,0,0,3377,20669,23535,0,17165,0,0,3577,0,4845,6964,4002,5699
"Neg",61750,"[M-H]-",23.246,"CL 16:0_16:1_16:0_18:1","CL",1971212,1851092,1696946,0,3861,49010,137340,259509,18218,21220,0,12266,0,0,3406,42018,0,0
"Neg",61702,"[M-H]-",22.73,"CL 16:0_16:1_16:1_18:1 (a)","CL",2112639,2282047,1844304,4507,0,57900,299477,442191,30430,8388,0,0,0,0,4240,30438,5218,0
"Neg",61701,"[M-H]-",22.989,"CL 16:0_16:1_16:1_18:1 (b)","CL",288091,111530,245206,0,0,5133,12360,34096,0,3477,0,0,0,0,0,3362,0,0
"Neg",62002,"[M-H]-",23.002,"CL 16:0_17:1_16:1_18:1","CL",633587,367643,516382,0,0,0,55149,57615,0,0,0,0,0,0,0,0,0,0
"Neg",62336,"[M-H]-",23.712,"CL 16:0_18:1_16:0_18:1 (a)","CL",5294614,4858239,4259549,36892,27708,262568,840487,1184732,97791,210535,4731,139128,0,4021,16007,107793,56144,0
"Neg",62339,"[M-H]-",24.508,"CL 16:0_18:1_16:0_18:1 (b)","CL",20215,52853,18585,3262,0,0,0,4096,0,0,0,0,0,0,0,0,0,0
"Neg",62338,"[M-H]-",24.871,"CL 16:0_18:1_16:0_18:1 (c)","CL",6436,6190,3669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neg",62296,"[M-H]-",23.243,"CL 16:0_18:1_16:1_18:1","CL",6052958,5531238,4795403,33782,18265,310446,569962,1139683,169199,105653,0,59230,0,0,0,166671,37494,10366
"Neg",62654,"[M-H]-",23.924,"CL 16:0_18:1_17:0_18:1","CL",275056,220733,89240,0,4107,0,3591,33032,0,3373,0,0,0,0,0,0,0,0
"Neg",62606,"[M-H]-",23.476,"CL 16:0_18:1_17:1_18:1","CL",661890,534772,509321,0,0,0,39552,15108,0,2445,0,3663,0,0,0,0,0,0
"Neg",62989,"[M-H]-",24.146,"CL 16:0_18:1_18:0_18:1","CL",174102,430770,366667,0,0,0,42104,15878,0,0,0,3401,0,0,0,0,3222,0
"Neg",62943,"[M-H]-",23.716,"CL 16:0_18:1_18:1_18:1 (a)","CL",3253783,2195241,2653130,0,4261,43997,422332,709962,39733,29749,0,14099,0,0,0,57398,9283,0
"Neg",62941,"[M-H]-",23.989,"CL 16:0_18:1_18:1_18:1 (b)","CL",97274,84756,84801,3683,0,4129,7191,50453,3687,5093,0,0,0,0,0,0,3791,0
"Neg",62942,"[M-H]-",24.871,"CL 16:0_18:1_18:1_18:1 (c)","CL",8064,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neg",62893,"[M-H]-",23.67,"CL 16:0_18:2_18:1_18:1","CL",407627,1430727,320108,0,11037,4137,19729,134273,3481,0,0,3561,0,0,0,6873,0,0
"Neg",61053,"[M-H]-",21.514,"CL 16:1_16:1_16:1_16:1","CL",169506,141972,222584,0,0,0,0,3452,5782,0,4495,0,0,0,0,0,4662,0
"Neg",61655,"[M-H]-",22.166,"CL 16:1_16:1_16:1_18:1","CL",2683240,2492274,2149413,10306,0,48957,276248,443420,60570,2940,0,0,0,0,0,18838,0,0
"Neg",61619,"[M-H]-",21.588,"CL 16:1_16:1_16:1_18:2","CL",407503,448092,217002,0,0,0,19161,15387,6324,0,0,0,0,0,0,0,0,0
"Neg",61957,"[M-H]-",22.471,"CL 16:1_17:1_17:1_17:1","CL",631156,525500,480828,0,0,0,19807,36449,6278,0,0,0,0,0,0,0,0,0
"Neg",62244,"[M-H]-",22.737,"CL 16:1_18:1_16:1_18:1 (a)","CL",7287805,8301426,6648229,96723,63721,264437,1221095,1442511,209300,63100,0,12922,0,3710,4509,145586,6739,0
"Neg",62245,"[M-H]-",22.986,"CL 16:1_18:1_16:1_18:1 (b)","CL",1163875,377505,869335,19036,4526,32073,76876,103378,55146,0,0,4486,0,0,0,0,0,0
"Neg",62243,"[M-H]-",23.724,"CL 16:1_18:1_16:1_18:1 (c)","CL",78231,41598,36854,0,0,4167,0,0,0,0,0,0,0,0,0,0,0,0
"Neg",62207,"[M-H]-",22.226,"CL 16:1_18:1_16:1_18:2 (a)","CL",3378426,3252219,2731370,13306,9287,84434,238454,460568,132452,0,0,0,0,4350,0,0,0,0
"Neg",62206,"[M-H]-",23.248,"CL 16:1_18:1_16:1_18:2 (b)","CL",167473,131477,215417,0,0,0,4444,4714,0,0,0,0,0,0,0,0,0,0
"Neg",62736,"[M-H]-",22.094,"CL 16:1_18:1_16:1_20:4","CL",439747,351245,579139,0,4053,0,4948,16512,0,0,0,0,0,0,0,3285,4750,0
"Neg",62561,"[M-H]-",23.01,"CL 16:1_18:1_17:1_18:1","CL",1910953,1783507,1542372,0,0,14213,221138,248737,9998,2671,0,0,0,0,0,4887,0,0
"Neg",62509,"[M-H]-",22.522,"CL 16:1_18:1_17:1_18:2","CL",573645,587021,441943,0,0,0,19589,46955,0,0,0,0,0,0,0,0,0,0
"Neg",62890,"[M-H]-",23.261,"CL 16:1_18:1_18:1_18:1","CL",9299731,8682857,7817715,109399,96473,224352,1231934,1617769,253223,43753,0,42140,0,0,4252,111864,27549,0
"Neg",62845,"[M-H]-",22.785,"CL 16:1_18:1_18:1_18:2 (a)","CL",9335529,9018143,8213962,36194,41668,328481,1156730,1110961,188327,2701,0,4859,0,0,0,28755,20961,0
"Neg",62844,"[M-H]-",23.159,"CL 16:1_18:1_18:1_18:2 (b)","CL",405079,654654,208084,10428,0,20608,41781,97661,5117,0,0,0,0,0,3875,0,0,0
"Neg",62846,"[M-H]-",23.709,"CL 16:1_18:1_18:1_18:2 (c)","CL",708243,727239,491549,0,0,3543,29844,42826,5118,2435,0,0,0,0,0,3164,0,0
"Neg",62795,"[M-H]-",22.701,"CL 16:1_18:1_18:2_18:2 (a)","CL",693864,156796,286682,0,0,12832,22571,41846,0,0,0,0,0,0,0,0,0,0
"Neg",62796,"[M-H]-",23.24,"CL 16:1_18:1_18:2_18:2 (b)","CL",678192,646280,614507,0,0,0,37925,53750,0,0,0,0,0,0,0,0,0,0
"Neg",63372,"[M-H]-",22.141,"CL 16:1_18:1_18:2_20:4","CL",1074599,860633,779038,0,0,0,4277,6770,6811,0,0,0,0,0,0,0,0,0
"Neg",62173,"[M-H]-",21.681,"CL 16:1_18:2_16:1_18:2 (a)","CL",328905,438237,411878,0,0,0,8173,3983,4698,0,0,0,0,0,0,0,0,0
"Neg",62172,"[M-H]-",22.726,"CL 16:1_18:2_16:1_18:2 (b)","CL",166450,196178,100823,0,0,0,5930,0,0,0,0,4128,0,0,0,0,0,0
"Neg",62692,"[M-H]-",21.521,"CL 16:1_18:2_16:1_20:4","CL",186695,166412,127076,0,0,0,0,4257,0,0,0,0,0,0,0,0,4845,0
"Neg",62797,"[M-H]-",22.304,"CL 16:1_18:2_18:1_18:2","CL",2357016,2142845,1960894,4012,0,58347,125067,170680,21838,0,0,0,0,0,0,0,0,0
"Neg",62735,"[M-H]-",21.779,"CL 16:1_18:2_18:2_18:2","CL",318237,183206,146651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neg",63420,"[M-H]-",23.649,"CL 16:1_20:4_18:1_18:1","CL",10479,259632,12844,0,0,0,3515,0,0,0,0,0,0,0,0,0,0,0
"Neg",63371,"[M-H]-",22.784,"CL 16:1_20:4_18:1_18:2","CL",849992,663532,885638,4236,0,9942,53290,32979,0,0,0,0,0,0,0,3428,0,0
"Neg",63228,"[M-H]-",23.49,"CL 17:1_18:1_18:1_18:1","CL",757028,600543,353705,0,0,0,37175,49792,4276,0,0,0,0,0,0,0,0,0
"Neg",63175,"[M-H]-",23.046,"CL 17:1_18:1_18:1_18:2","CL",1148869,1113326,1026947,5302,4472,17397,85008,125791,0,0,0,0,0,0,0,0,0,0
"Neg",63115,"[M-H]-",22.595,"CL 17:1_18:2_18:1_18:2","CL",223662,221117,159388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neg",63641,"[M-H]-",24.145,"CL 18:0_18:1_18:1_18:1","CL",105309,141028,128495,0,0,0,0,3232,0,0,0,0,0,0,0,0,0,0
"Neg",63586,"[M-H]-",23.727,"CL 18:1_18:1_18:1_18:1 (a)","CL",1921845,1579989,1702577,9362,10000,22040,155318,342687,19290,2280,0,5112,0,0,0,9378,0,0
"Neg",63585,"[M-H]-",24.871,"CL 18:1_18:1_18:1_18:1 (b)","CL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neg",63532,"[M-H]-",23.296,"CL 18:1_18:1_18:1_18:2","CL",4249440,4051953,3707963,9222,4959,149789,458310,580510,43480,0,0,4196,3523,0,0,18918,0,0
"Neg",64204,"[M-H]-",23.378,"CL 18:1_18:1_18:1_20:3","CL",171935,356101,209439,0,0,0,14039,0,0,0,0,0,0,0,0,0,0,0
"Neg",64097,"[M-H]-",22.72,"CL 18:1_18:1_18:2_20:4","CL",280241,405969,278437,0,3559,0,0,8108,0,0,0,0,0,0,0,0,0,0
"Neg",63478,"[M-H]-",22.849,"CL 18:1_18:2_18:1_18:2 (a)","CL",2629099,3921180,2331917,11925,5558,75762,185897,270036,20434,0,0,0,0,0,0,0,0,0
"Neg",63477,"[M-H]-",23.009,"CL 18:1_18:2_18:1_18:2 (b)","CL",1460144,438488,1265796,10996,12735,25036,18942,49302,5845,0,0,0,0,0,0,0,0,0
"Neg",63474,"[M-H]-",23.221,"CL 18:1_18:2_18:1_18:2 (c)","CL",707870,275039,519642,0,0,5326,32698,27279,0,0,0,0,0,0,0,3560,0,0
"Neg",63479,"[M-H]-",23.711,"CL 18:1_18:2_18:1_18:2 (d)","CL",380351,397551,337986,0,0,0,3738,24987,0,0,0,0,0,0,0,0,0,0
"Neg",64153,"[M-H]-",22.968,"CL 18:1_18:2_18:1_20:3 (a)","CL",665814,640819,549856,0,0,0,9307,4736,0,0,0,0,0,0,0,0,0,0
"Neg",64152,"[M-H]-",23.72,"CL 18:1_18:2_18:1_20:3 (b)","CL",136378,134994,163891,0,0,0,0,8400,0,0,0,5308,0,0,0,0,0,0
"Neg",64095,"[M-H]-",23.292,"CL 18:1_18:2_18:1_20:4","CL",239312,482297,387457,0,0,4481,9772,12284,0,0,0,0,0,0,0,3867,0,0
