"Polarity","Alignment.ID","Adduct.type","Average.Rt.min.","Metabolite.curated","Ontology","Fenton_0h_1","Fenton_0h_2","Fenton_0h_3","Fenton_1min_1","Fenton_1min_2","Fenton_1min_3","Fenton_20min_1","Fenton_20min_2","Fenton_20min_3","Fenton_4h_1","Fenton_4h_2","Fenton_4h_3","Fenton_24h_1","Fenton_24h_2","Fenton_24h_3","Fenton_72h_1","Fenton_72h_2","Fenton_72h_3","H2O2_0h_1","H2O2_0h_2","H2O2_0h_3","H2O2_1min_1","H2O2_1min_2","H2O2_1min_3","H2O2_20min_1","H2O2_20min_2","H2O2_20min_3","H2O2_4h_1","H2O2_4h_2","H2O2_4h_3","H2O2_24h_1","H2O2_24h_2","H2O2_24h_3","H2O2_72h_1","H2O2_72h_2","H2O2_72h_3"
"Neg",61180,"[M-H]-",23.249,"CL 14:0_16:0_16:0_18:1","CL",274746,278053,249638,0,0,0,7697,18941,0,4135,0,0,0,0,0,0,0,0,88753,346016,292705,226982,164564,167701,84462,106582,85840,185595,440049,429084,390463,358832,374781,170574,467845,326072
"Neg",61102,"[M-H]-",22.147,"CL 14:0_16:1_16:1_18:1","CL",540184,440012,413078,0,3230,0,22505,37123,0,0,0,0,0,0,0,3217,5178,0,580242,632699,558791,584147,436290,327692,365696,251379,475987,691743,472573,801871,525218,660147,681050,672669,858682,744498
"Neg",61146,"[M-H]-",22.722,"CL 14:0_18:1_16:0_16:1","CL",363782,413445,376937,0,0,10523,5444,37028,0,0,0,0,0,0,4140,0,0,0,375742,318052,448753,452848,320663,420900,273695,219166,392533,469842,359262,429798,662303,234873,610211,575983,685048,508950
"Neg",62045,"[M-H]-",23.48,"CL 15:0_18:1_16:0_18:1","CL",268809,226640,170096,0,0,0,4203,5613,0,0,0,0,0,0,0,0,0,0,220118,334983,149262,268873,122888,299238,152594,95830,203668,270636,453698,429408,253369,231598,340283,266931,401959,358030
"Neg",61787,"[M-H]-",23.729,"CL 16:0_16:0_16:0_18:1","CL",619469,556205,492161,0,0,3377,20669,23535,0,17165,0,0,3577,0,4845,6964,4002,5699,505773,794733,701852,643228,484635,633218,323313,322521,434082,652104,1027446,907263,766480,716531,728223,645058,882837,726747
"Neg",61750,"[M-H]-",23.246,"CL 16:0_16:1_16:0_18:1","CL",1971212,1851092,1696946,0,3861,49010,137340,259509,18218,21220,0,12266,0,0,3406,42018,0,0,1639218,2299340,1963287,1983623,1321517,2030220,1159387,1116687,1421192,1897608,2885371,2891316,2536500,2118085,2414322,2021628,2785694,2329467
"Neg",61702,"[M-H]-",22.73,"CL 16:0_16:1_16:1_18:1 (a)","CL",2112639,2282047,1844304,4507,0,57900,299477,442191,30430,8388,0,0,0,0,4240,30438,5218,0,1922934,2579506,2314503,2308467,1595779,2169728,1417343,1221990,1778473,2866762,3123281,3261819,3306715,2415399,2979675,2583836,3254514,2639323
"Neg",61701,"[M-H]-",22.989,"CL 16:0_16:1_16:1_18:1 (b)","CL",288091,111530,245206,0,0,5133,12360,34096,0,3477,0,0,0,0,0,3362,0,0,217785,269527,328416,231967,191474,176962,175199,62958,145365,106359,373678,317232,129597,304655,114959,214157,168611,210858
"Neg",62002,"[M-H]-",23.002,"CL 16:0_17:1_16:1_18:1","CL",633587,367643,516382,0,0,0,55149,57615,0,0,0,0,0,0,0,0,0,0,557102,729917,665607,703090,457274,647368,348934,161189,524261,675189,936283,809148,817268,730757,705726,691303,862676,690927
"Neg",62336,"[M-H]-",23.712,"CL 16:0_18:1_16:0_18:1 (a)","CL",5294614,4858239,4259549,36892,27708,262568,840487,1184732,97791,210535,4731,139128,0,4021,16007,107793,56144,0,5002224,6857758,5656873,5903906,3964798,5680287,3079556,3225710,4184788,5693164,8516620,8234611,6730250,6377593,6693320,5654480,7694115,6344829
