"Polarity","Alignment.ID","Adduct.type","Average.Rt.min.","Metabolite.curated","Ontology","ML210_0min_1","ML210_0min_2","ML210_0min_3","ML210_20min_1","ML210_20min_2","ML210_20min_3","ML210_45min_1","ML210_45min_2","ML210_45min_3","ML210_80min_1","ML210_80min_2","ML210_80min_3","ML210_120min_1","ML210_120min_2","ML210_120min_3","ML210_270min_1","ML210_270min_2","ML210_270min_3"
"Neg",61180,"[M-H]-",23.249,"CL 14:0_16:0_16:0_18:1","CL",51274,193316,168425,166954,76351,238227,175286,149501,172854,158866,158326,97883,72982,163054,68733,61865,50601,46290
"Neg",61102,"[M-H]-",22.147,"CL 14:0_16:1_16:1_18:1","CL",226438,196925,270657,280560,254820,322452,172092,272737,259370,188357,334191,319002,265153,237796,264305,140536,170890,189197
"Neg",61146,"[M-H]-",22.722,"CL 14:0_18:1_16:0_16:1","CL",178003,218316,264741,295011,193682,132133,252042,260452,221599,124230,331722,265168,178649,192868,182527,117692,115622,105484
"Neg",62045,"[M-H]-",23.48,"CL 15:0_18:1_16:0_18:1","CL",165519,250441,175609,211434,157294,180794,210825,174692,152775,216846,140546,225385,205077,89072,116211,129904,127273,92971
"Neg",61787,"[M-H]-",23.729,"CL 16:0_16:0_16:0_18:1","CL",351626,426174,252809,460369,323086,521711,433581,383926,399063,333068,448807,408352,218914,373365,290079,104355,232455,217525
"Neg",61750,"[M-H]-",23.246,"CL 16:0_16:1_16:0_18:1","CL",500260,1434742,1346311,1402881,997100,1648163,1253259,1194183,1260429,1141453,667541,1390523,1177781,1177791,1020355,720288,882286,926569
"Neg",61702,"[M-H]-",22.73,"CL 16:0_16:1_16:1_18:1 (a)","CL",1194170,1478026,1389798,1392165,1123457,1613052,1317622,1219427,1337047,1215686,1606980,1468504,1316213,1107721,1133661,778087,865397,541752
"Neg",61701,"[M-H]-",22.989,"CL 16:0_16:1_16:1_18:1 (b)","CL",23552,18781,25421,19830,4164,27334,23703,21527,16780,4728,2817,54340,12828,91713,20314,4238,3082,15975
"Neg",62002,"[M-H]-",23.002,"CL 16:0_17:1_16:1_18:1","CL",265338,315191,279845,316302,255514,343285,304672,277977,273920,258330,381081,303658,181742,269036,241087,107593,130028,146540
"Neg",62336,"[M-H]-",23.712,"CL 16:0_18:1_16:0_18:1 (a)","CL",3808426,4636272,4327586,4482816,3501575,5191504,4292401,4062747,4194576,4026917,2286155,4499594,4061784,3803754,3654175,2645013,3261981,3346409
"Neg",62339,"[M-H]-",24.508,"CL 16:0_18:1_16:0_18:1 (b)","CL",4821,8748,5562,12418,0,10215,0,3535,8462,4620,2489,7725,11008,3982,3103,3541,7058,0
"Neg",62338,"[M-H]-",24.871,"CL 16:0_18:1_16:0_18:1 (c)","CL",0,3827,2906,0,0,2704,2849,3629,0,0,3253,0,3916,3052,0,0,2781,0
"Neg",62296,"[M-H]-",23.243,"CL 16:0_18:1_16:1_18:1","CL",3472371,4339425,3822976,4051981,3064284,4630033,3730147,3684775,3806571,3370351,4647797,4236671,3675234,1647890,3345852,2477717,2728381,3015622
"Neg",62654,"[M-H]-",23.924,"CL 16:0_18:1_17:0_18:1","CL",203452,297390,287482,263737,194197,273892,251792,151876,272424,255801,341884,311388,203593,239622,185663,185800,226863,262158
"Neg",62606,"[M-H]-",23.476,"CL 16:0_18:1_17:1_18:1","CL",424253,539361,500219,486831,374534,583500,519386,462659,457562,437778,597253,510845,468950,433340,426012,314637,344814,417264
"Neg",62989,"[M-H]-",24.146,"CL 16:0_18:1_18:0_18:1","CL",375106,440153,407313,441980,323499,498158,404621,345551,417385,425739,503479,456423,406419,408118,355296,299019,348751,402274
"Neg",62943,"[M-H]-",23.716,"CL 16:0_18:1_18:1_18:1 (a)","CL",2302523,2891781,2669959,2650198,2178695,3047877,2735409,2595602,2701301,2476227,1613201,2832425,2642655,2471400,2333399,1781475,2104743,2341324
"Neg",62941,"[M-H]-",23.989,"CL 16:0_18:1_18:1_18:1 (b)","CL",36178,55937,62163,42467,40210,85838,57532,52015,54000,46364,46337,54855,48908,52081,44327,27361,30254,30762
"Neg",62942,"[M-H]-",24.871,"CL 16:0_18:1_18:1_18:1 (c)","CL",0,0,0,0,3736,0,0,0,3829,0,3595,2884,0,0,3188,0,0,0
"Neg",62893,"[M-H]-",23.67,"CL 16:0_18:2_18:1_18:1","CL",123126,219900,112640,159412,312531,67331,107242,119921,98500,134699,122253,171308,187687,95887,34682,233278,60292,75751
"Neg",61053,"[M-H]-",21.514,"CL 16:1_16:1_16:1_16:1","CL",156657,83850,136171,119291,111809,140590,165574,181093,168397,88056,94198,202640,134094,135437,117433,39107,72426,69487
"Neg",61655,"[M-H]-",22.166,"CL 16:1_16:1_16:1_18:1","CL",1353722,1669049,1439177,1509626,1302871,1813196,939129,1483625,1475273,854112,1741496,1762394,1363020,1363728,1362833,814066,970891,1018521
"Neg",61619,"[M-H]-",21.588,"CL 16:1_16:1_16:1_18:2","CL",150139,211206,146750,293923,204542,160273,290704,298836,264031,266699,337623,365755,259002,172737,221829,127121,155421,173154
"Neg",61957,"[M-H]-",22.471,"CL 16:1_17:1_17:1_17:1","CL",278968,376337,357309,317343,267470,396570,274127,174847,308155,280079,368802,372734,340495,161291,319647,174066,194781,243716
"Neg",62244,"[M-H]-",22.737,"CL 16:1_18:1_16:1_18:1 (a)","CL",4229511,5620955,4865236,5015936,4101496,5539799,4787964,4726915,4822788,4374937,5854024,5197046,4588820,4370545,4326695,3106146,3228573,1851733
"Neg",62245,"[M-H]-",22.986,"CL 16:1_18:1_16:1_18:1 (b)","CL",89469,118682,103422,107240,85025,122427,104248,98342,89079,82306,112718,119461,96329,107035,91057,82061,82012,46925
"Neg",62243,"[M-H]-",23.724,"CL 16:1_18:1_16:1_18:1 (c)","CL",30084,23868,27952,42013,11923,30082,55282,11088,45315,18764,39401,31367,17628,19266,28486,15999,10763,11769
"Neg",62207,"[M-H]-",22.226,"CL 16:1_18:1_16:1_18:2 (a)","CL",1677670,2203633,1948567,1971230,1687309,2304639,2072827,1938278,1907553,1795167,2367974,2190403,1898336,1834587,1724895,1160715,1326347,1464762
"Neg",62206,"[M-H]-",23.248,"CL 16:1_18:1_16:1_18:2 (b)","CL",68516,209455,64838,177943,60828,238336,186418,159352,95285,141300,220087,204072,98797,95902,133344,30672,86455,115162
"Neg",62736,"[M-H]-",22.094,"CL 16:1_18:1_16:1_20:4","CL",222389,383772,211305,352650,251777,359805,316935,462154,530024,279385,230095,380233,280632,355308,423159,142862,318804,218760
"Neg",62561,"[M-H]-",23.01,"CL 16:1_18:1_17:1_18:1","CL",704329,905041,803847,830859,668060,925735,756322,747631,775144,703302,920200,887003,750954,735971,423149,487017,554681,605743
"Neg",62509,"[M-H]-",22.522,"CL 16:1_18:1_17:1_18:2","CL",284403,348363,326476,286305,257695,395640,312225,289530,320712,195310,409508,333875,311167,331747,169830,193717,212824,245813
"Neg",62890,"[M-H]-",23.261,"CL 16:1_18:1_18:1_18:1","CL",5306062,6827288,5946409,6175533,4937372,7097078,5740395,5777100,5960622,5454655,7205348,6488197,5736881,5483756,5400959,3921006,4368192,4854123
"Neg",62845,"[M-H]-",22.785,"CL 16:1_18:1_18:1_18:2 (a)","CL",4255331,5526698,4887820,5068807,4085479,5418343,4715123,4797704,4983791,4546686,5993846,5244650,4886373,4402321,4423226,3143996,3413709,3845510
"Neg",62844,"[M-H]-",23.159,"CL 16:1_18:1_18:1_18:2 (b)","CL",258777,420578,273259,536594,176419,562576,444304,622621,578581,594398,698841,677314,676354,224033,209361,264233,236449,503484
"Neg",62846,"[M-H]-",23.709,"CL 16:1_18:1_18:1_18:2 (c)","CL",583163,792173,716821,738475,579582,420606,667022,640160,666497,639165,852884,756621,669696,589473,559128,413766,264376,562853
"Neg",62795,"[M-H]-",22.701,"CL 16:1_18:1_18:2_18:2 (a)","CL",443550,547249,691832,647900,340378,344536,314630,675386,421722,348577,485157,695595,354292,676251,562061,238334,223093,551757
"Neg",62796,"[M-H]-",23.24,"CL 16:1_18:1_18:2_18:2 (b)","CL",485747,709406,617737,600691,503990,712319,543987,278743,264604,532680,717359,627720,616165,541394,234631,245307,402907,434539
"Neg",63372,"[M-H]-",22.141,"CL 16:1_18:1_18:2_20:4","CL",484354,672201,616674,300390,286208,380002,362068,589115,514496,543964,763138,693705,574363,292576,541780,180324,396339,324450
"Neg",62173,"[M-H]-",21.681,"CL 16:1_18:2_16:1_18:2 (a)","CL",242333,316713,274543,209466,137805,188048,250839,267973,102931,247375,232661,266471,262312,275188,280062,129909,155451,204996
"Neg",62172,"[M-H]-",22.726,"CL 16:1_18:2_16:1_18:2 (b)","CL",144199,175282,101368,113972,59352,144249,141786,88696,156362,133697,127890,179815,83418,133174,76511,18133,41886,124273
"Neg",62692,"[M-H]-",21.521,"CL 16:1_18:2_16:1_20:4","CL",131401,112082,122020,99943,64424,132025,131345,101643,139263,65800,106226,125616,67796,103436,65643,35974,35877,45742
"Neg",62797,"[M-H]-",22.304,"CL 16:1_18:2_18:1_18:2","CL",1203082,1559597,1380745,1349837,1171564,1545032,1471696,1340561,1368501,1263824,1649688,1553377,1376017,1242918,1300009,872288,1016234,1017320
"Neg",62735,"[M-H]-",21.779,"CL 16:1_18:2_18:2_18:2","CL",44573,83765,67564,110666,99420,124894,150631,158946,103009,127244,112550,166741,157518,179990,119040,31752,61354,47252
"Neg",63420,"[M-H]-",23.649,"CL 16:1_20:4_18:1_18:1","CL",0,14509,3671,5223,0,8483,0,9797,16218,2927,5194,3656,3477,3953,11137,0,5752,0
"Neg",63371,"[M-H]-",22.784,"CL 16:1_20:4_18:1_18:2","CL",277616,846651,687889,472623,292523,775158,670927,682844,357486,683527,887045,762366,725993,630947,658868,292053,513680,547391
"Neg",63228,"[M-H]-",23.49,"CL 17:1_18:1_18:1_18:1","CL",424488,567383,267218,476946,374828,590903,489921,452228,473343,458408,590353,509648,434265,398660,449418,307851,188542,382498
"Neg",63175,"[M-H]-",23.046,"CL 17:1_18:1_18:1_18:2","CL",407986,240187,436766,539411,390934,593414,498348,452786,444109,438915,637699,520372,502560,443202,453424,305009,320571,372938
"Neg",63115,"[M-H]-",22.595,"CL 17:1_18:2_18:1_18:2","CL",100275,131289,83662,68274,60983,94212,48199,78616,78189,54884,96747,162620,119932,77886,111651,70655,77964,15276
"Neg",63641,"[M-H]-",24.145,"CL 18:0_18:1_18:1_18:1","CL",73542,102903,55953,153127,107713,181420,75012,80453,145248,105806,176808,201149,45865,177019,148878,55132,109752,98073
"Neg",63586,"[M-H]-",23.727,"CL 18:1_18:1_18:1_18:1 (a)","CL",1193177,1512184,1353285,1456539,1145438,1610214,1381497,1281488,1318902,1271778,1713172,1476450,1423162,1294546,1292734,951080,1148488,1209854
"Neg",63585,"[M-H]-",24.871,"CL 18:1_18:1_18:1_18:1 (b)","CL",0,0,0,0,0,0,0,0,0,0,0,0,0,2795,0,0,0,0
"Neg",63532,"[M-H]-",23.296,"CL 18:1_18:1_18:1_18:2","CL",2348556,3060591,2674879,2787040,2270561,3105389,2596706,2637842,2614391,2461391,3391238,2955003,2656716,2615926,2363947,1851825,2060647,2307791
"Neg",64204,"[M-H]-",23.378,"CL 18:1_18:1_18:1_20:3","CL",178035,112067,166471,176241,156652,254501,182282,143710,185422,94246,281828,129361,201585,175486,148098,111056,80776,76180
"Neg",64097,"[M-H]-",22.72,"CL 18:1_18:1_18:2_20:4","CL",205875,286912,286043,139272,253195,231141,329715,297559,331661,252481,382646,178835,278708,214658,314691,144306,133375,106568
"Neg",63478,"[M-H]-",22.849,"CL 18:1_18:2_18:1_18:2 (a)","CL",1823556,2334409,2072789,2056945,1806561,2260452,2108416,2025397,2089911,1931435,2613766,2363762,1245820,1835763,1825977,1417606,1473500,1753755
"Neg",63477,"[M-H]-",23.009,"CL 18:1_18:2_18:1_18:2 (b)","CL",133182,149842,137109,113975,119551,125211,140285,142157,143662,129015,145568,80755,139738,82227,68086,101294,90942,121336
"Neg",63474,"[M-H]-",23.221,"CL 18:1_18:2_18:1_18:2 (c)","CL",259617,671967,509951,200592,456745,216732,322043,422094,549506,185628,450314,341532,564595,340083,219031,302876,180343,521562
"Neg",63479,"[M-H]-",23.711,"CL 18:1_18:2_18:1_18:2 (d)","CL",362795,292921,359372,229678,327991,307614,408867,414924,443733,383564,504713,279753,236177,404187,320801,265978,170580,350550
"Neg",64153,"[M-H]-",22.968,"CL 18:1_18:2_18:1_20:3 (a)","CL",225701,259987,140731,269680,190731,261430,207814,226685,227934,210617,270799,260470,306804,135202,274756,179753,109194,134854
"Neg",64152,"[M-H]-",23.72,"CL 18:1_18:2_18:1_20:3 (b)","CL",111557,130618,93909,215564,148903,197036,195701,168060,175731,164179,110523,214365,212328,73675,137443,53248,154736,95371
"Neg",64095,"[M-H]-",23.292,"CL 18:1_18:2_18:1_20:4","CL",363464,443494,380946,289268,304836,468173,188665,315466,406622,333368,478404,468440,152382,373010,339743,244319,292814,337123
"Neg",63418,"[M-H]-",22.387,"CL 18:1_18:2_18:2_18:2 (a)","CL",460396,588428,518350,521593,267575,632631,293960,487351,265157,224236,642884,588075,600190,511098,406404,344956,153811,258879
"Neg",63419,"[M-H]-",22.512,"CL 18:1_18:2_18:2_18:2 (b)","CL",22880,26685,55377,102375,187591,31308,84736,82587,61875,224236,29738,59387,77758,37586,87562,43189,17756,41109
"Neg",63417,"[M-H]-",22.692,"CL 18:1_18:2_18:2_18:2 (c)","CL",325538,888858,519214,665950,436874,870921,305314,823061,467578,889005,654645,528885,399777,665499,611681,525851,228021,645378
"Neg",63416,"[M-H]-",23.257,"CL 18:1_18:2_18:2_18:2 (d)","CL",789699,1045056,957506,912216,711673,1129947,917154,862569,905923,821325,1122405,1019775,920037,883997,758560,568982,644674,745700
"Neg",64047,"[M-H]-",22.214,"CL 18:1_18:2_18:2_20:4 (a)","CL",178064,248654,154231,141096,99179,141995,293662,135494,195879,119067,307442,178609,129001,177139,112097,45189,68097,76213
"Neg",64045,"[M-H]-",22.85,"CL 18:1_18:2_18:2_20:4 (b)","CL",237568,239542,304109,288667,200867,284382,280682,251849,208347,243421,361224,329471,299786,247551,125825,160168,159404,99664
"Pos",21835,"[M+NH4]+",13.992,"DG 14:0_16:0","DG",2600054,2675610,2845489,2265417,3315086,3550366,2501936,3751060,3336410,2200238,3545426,2171547,2078864,884850,612411,963170,1167761,1608127
"Pos",23818,"[M+NH4]+",15.303,"DG 16:0_16:0","DG",18879377,20569439,20097460,24330624,24206849,24039902,22175946,26069295,24528513,22842645,26594774,21607777,14115377,14954993,15262068,8294436,6251959,4634894
"Pos",23689,"[M+NH4]+",14.079,"DG 16:0_16:1","DG",16298167,17849702,7903154,11369282,14448768,22957584,20369213,23671839,21865584,20201717,23607022,12178621,14049127,15504387,15659628,6502811,12734034,13535662
"Pos",24764,"[M+NH4]+",14.768,"DG 16:0_17:1","DG",2671575,1609247,1525166,2173952,3509084,3505277,3455314,3976429,1835550,3629614,2648237,3638948,3171405,3146887,1560840,1147954,2671166,2892627
"Pos",26055,"[M+NH4]+",16.833,"DG 16:0_18:0","DG",10736918,11214683,11275378,12711022,12262888,11647090,13285773,14392562,13884593,13914756,16916292,13446281,10260240,11253090,11045289,2238464,7034113,7816372
"Pos",25882,"[M+NH4]+",15.449,"DG 16:0_18:1","DG",84092837,89883806,87363217,106417264,106573157,102696871,97720015,112421071,105687037,103175622,121432751,99495195,76610628,83441800,84453212,55960201,68202366,75075132
"Pos",26988,"[M+NH4]+",16.174,"DG 16:0_19:1","DG",3194008,3964740,3498144,2279268,4663058,4011381,4763034,4421561,5020452,4764710,5340098,5016958,3838829,4601576,4540580,2737245,3515507,3346487
"Pos",28240,"[M+NH4]+",18.444,"DG 16:0_20:0","DG",1431721,1462368,1404468,1644557,973137,650099,1761254,1767559,638457,1954146,2221858,999756,801751,1737900,788197,1000383,1243683,1334631
"Pos",29647,"[M+NH4]+",13.962,"DG 16:0_22:5","DG",3090263,5602825,4981871,9434327,9539173,9078989,10124361,11170632,10606123,11911135,13140216,5270099,10637364,11679216,11536739,8997913,10867667,11835473
"Pos",33024,"[M+NH4]+",21.124,"DG 16:0_24:0","DG",642266,630113,648214,709913,761863,762805,860057,938807,937081,1077852,1037018,951395,690079,714054,374861,151463,185069,368570
"Pos",32844,"[M+NH4]+",19.932,"DG 16:0_24:1","DG",1651042,1786185,1790520,2327939,2263031,2262033,2537978,2894088,2811523,3025862,3509986,2837386,2163389,2334742,2335750,923202,1042613,1262755
"Pos",35564,"[M+NH4]+",22.073,"DG 16:0_26:0","DG",401075,411066,194827,534968,591569,574986,654920,724777,657043,352317,460597,402268,492161,356715,303208,161225,167558,149614
"Pos",35374,"[M+NH4]+",21.075,"DG 16:0_26:1","DG",1405676,1484319,1536611,2013291,1338352,2024759,2218418,2581721,2541538,2607997,3026421,2457750,1955160,2165580,2108334,334519,909966,610301
"Pos",25721,"[M+NH4]+",14.183,"DG 16:1_18:1","DG",8855123,18877508,18540983,25035882,25171139,25262957,12919605,27277824,25558223,26030520,29528694,25144427,19386044,21125035,21989314,15787454,18718613,19776531
"Pos",28238,"[M+NH4]+",18.497,"DG 18:0_18:0","DG",1437256,1462368,1404468,1644557,717052,889121,1761254,1767559,1245148,1954146,2221858,946430,764582,1737900,826268,1000383,1243683,1334631
"Pos",28101,"[M+NH4]+",16.969,"DG 18:0_18:1","DG",23907636,25851138,24519437,31000616,29931461,29236787,30497825,34426715,32489691,32556668,39079529,31500479,27603937,30207303,30287367,20463387,24465794,27140344
"Pos",30373,"[M+NH4]+",18.526,"DG 18:0_20:1","DG",1592565,2791734,2763533,3371828,3401189,2070705,3607685,3861650,3697691,3648959,4418091,3607233,2853198,3173437,3142482,1729835,2125165,2377531
"Pos",30207,"[M+NH4]+",17.559,"DG 18:0_20:2","DG",391066,153190,569017,487758,502239,427068,577919,545282,418982,500876,584617,362482,152671,507508,181802,96725,304034,367007
"Pos",30011,"[M+NH4]+",16.044,"DG 18:0_20:3","DG",2646159,1677492,1664737,3687116,3798938,3307330,3708267,2267065,3971352,4017332,2539668,3831384,3698557,4007113,4322425,2906577,3838241,2038973
"Pos",29821,"[M+NH4]+",15.263,"DG 18:0_20:4 (a)","DG",5712680,10066001,4401320,11532026,12585120,6599351,6435691,7463126,12985171,6385909,7028886,7298661,12754236,13518865,14011086,11436844,15126499,10131395
"Pos",29820,"[M+NH4]+",15.383,"DG 18:0_20:4 (b)","DG",3818265,1633807,4858819,1686272,2111030,4941740,5673702,6741915,2088073,5608862,6561472,4890444,1876198,1654054,2042799,1467871,2255421,7026364
"Pos",32125,"[M+NH4]+",15.297,"DG 18:0_22:5 (a)","DG",2134014,2380414,2165122,2954516,3125011,2661113,3125790,3542807,3298636,1722416,4150540,3381347,3797797,4128138,4154927,3181072,3982578,4221381
"Pos",32122,"[M+NH4]+",15.354,"DG 18:0_22:5 (b)","DG",2134014,2380414,2166764,2954516,3125011,2658911,3125790,3542807,3431058,1855405,4150540,2106657,3797797,4128138,4154927,3181072,3982578,4221381
"Pos",27948,"[M+NH4]+",15.558,"DG 18:1_18:1","DG",43771333,46898051,44940771,57109890,57943556,54801523,54944517,62814835,58214271,57643209,67805262,55336779,47652598,53966590,53760562,39673682,47535975,50588747
"Pos",27768,"[M+NH4]+",14.391,"DG 18:1_18:2 (a)","DG",2323260,4262965,3839030,3987858,2475421,4586137,3658883,3491748,4491144,6462092,4086086,4096950,5221213,3973257,4367280,7769203,7816121,7256876
"Pos",27770,"[M+NH4]+",14.486,"DG 18:1_18:2 (b)","DG",1358903,1649908,1771470,3845098,4812422,1762199,3401638,3048243,3494307,2400424,2515516,2886733,3363755,3571320,4765655,5182276,2044855,3075536
"Pos",29014,"[M+NH4]+",16.285,"DG 18:1_19:1","DG",1701380,1842265,966269,1481219,2211511,2021301,2271302,2539004,2337503,2423838,2926283,2270956,2046603,2391377,2348980,1709704,1967589,2192896
"Pos",30208,"[M+NH4]+",17.049,"DG 18:1_20:1","DG",8375766,9012392,8349179,10775026,10774044,10543389,10929528,12346506,12013408,11721811,13625060,11248556,9799991,10869989,10552522,7739141,8923166,9759737
"Pos",30014,"[M+NH4]+",15.756,"DG 18:1_20:2","DG",833753,1064011,1060414,1693015,1270937,1542420,2015379,1629212,2121539,1807645,1418363,2187118,2128754,1556232,2199424,1726478,2278625,2265903
"Pos",32664,"[M+NH4]+",18.647,"DG 18:1_22:1","DG",1495052,1618380,1582057,2072116,2098653,2073668,958853,2440946,2354997,2388533,2850072,2352453,1925079,2220135,2107132,1279032,1431614,1522093
"Pos",31945,"[M+NH4]+",14.032,"DG 18:1_22:5","DG",887081,1491051,1324851,2293247,2488499,2297991,2561818,2905764,2734385,2950315,3594020,3004990,2926513,3268376,3231423,2826871,3144338,3456250
"Pos",35198,"[M+NH4]+",20.02,"DG 18:1_24:1","DG",1164194,1271083,1205667,1702359,1756000,1654781,1864385,2104855,2126950,2191423,2664992,2110228,1761884,1864435,1847790,863107,985085,1134653
