"Lipid_Name","Adduct","Precursor_Ion","Neutral_Loss_Ion","Characteristic_Ion","FA1","FA2","OxFA1","OxFA2","UnFA1","UnFA2","Origin"
"LPC 16:1","[M+HCOO]-",538.315,478.2939,224.0682,"253.2173",NA,NA,NA,"253.2173",NA,"LPC(16:1)"
"LPC 18:1","[M+HCOO]-",566.3463,506.3252,224.0682,"281.2486",NA,NA,NA,"281.2486",NA,"LPC(18:1)"
"LPC 18:2","[M+HCOO]-",564.3307,504.3096,224.0682,"279.233",NA,NA,NA,"279.233",NA,"LPC(18:2)"
"LPC 20:3","[M+HCOO]-",590.3463,530.3252,224.0682,"305.2486",NA,NA,NA,"305.2486",NA,"LPC(20:3)"
"LPC 20:4","[M+HCOO]-",588.3307,528.3096,224.0682,"303.233",NA,NA,NA,"303.233",NA,"LPC(20:4)"
"LPC 22:1","[M+HCOO]-",622.4089,562.3878,224.0682,"337.3112",NA,NA,NA,"337.3112",NA,"LPC(22:1)"
"LPC 22:5","[M+HCOO]-",614.3463,554.3252,224.0682,"329.2486",NA,NA,NA,"329.2486",NA,"LPC(22:5)"
"LPC 22:6","[M+HCOO]-",612.3307,552.3096,224.0682,"327.233",NA,NA,NA,"327.233",NA,"LPC(22:6)"
"LPC 16:1<oxo>","[M+HCOO]-",552.2943,492.2732,224.0682,"267.1966",NA,"267.1966",NA,NA,NA,"LPC(16:1); LPC(22:2)"
"LPC 16:1<OH>","[M+HCOO]-",554.31,494.2888,224.0682,"269.2122;251.2017",NA,"269.2122;251.2017",NA,NA,NA,"LPC(16:1)"
"LPC 16:1<OOH>","[M+HCOO]-",570.3049,510.2837,224.0682,"285.2071;267.1966",NA,"285.2071;267.1966",NA,NA,NA,"LPC(16:1)"
"LPC 9:0<COOH>","[M-H]-",426.1898,NA,224.0682,"187.0976;169.087",NA,"187.0976;169.087",NA,NA,NA,"LPC(16:1); LPC(18:1); LPC(18:2); LPC(18:3)"
"LPC 9:0<oxo>","[M+HCOO]-",456.2004,396.1793,224.0682,"171.1027",NA,"171.1027",NA,NA,NA,"LPC(16:1); LPC(18:1); LPC(18:2); LPC(18:3)"
"LPC 18:1<oxo>","[M+HCOO]-",580.3256,520.3045,224.0682,"295.2279",NA,"295.2279",NA,NA,NA,"LPC(18:1)"
"LPC 18:1<OH>","[M+HCOO]-",582.3413,522.3201,224.0682,"297.2435;279.233",NA,"297.2435;279.233",NA,NA,NA,"LPC(18:1)"
"LPC 18:1<OOH>","[M+HCOO]-",598.3362,538.315,224.0682,"313.2384;295.2279",NA,"313.2384;295.2279",NA,NA,NA,"LPC(18:1)"
"LPC 18:2<OH,oxo>","[M+HCOO]-",594.3049,534.2837,224.0682,"309.2071;291.1966",NA,"309.2071;291.1966",NA,NA,NA,"LPC(18:2)"
"LPC 18:2<oxo,OOH>","[M+HCOO]-",610.2998,550.2787,224.0682,"325.202;307.1915",NA,"325.202;307.1915",NA,NA,NA,"LPC(18:2)"
"LPC 18:2<oxo>","[M+HCOO]-",578.31,518.2888,224.0682,"293.2122",NA,"293.2122",NA,NA,NA,"LPC(18:2)"
"LPC 18:2<2OH>","[M+HCOO]-",596.3205,536.2994,224.0682,"311.2228;293.2122",NA,"311.2228;293.2122",NA,NA,NA,"LPC(18:2)"
"LPC 18:2<OH,OOH>","[M+HCOO]-",612.3154,552.2943,224.0682,"327.2177;309.2071",NA,"327.2177;309.2071",NA,NA,NA,"LPC(18:2)"
"LPC 18:2<OH>","[M+HCOO]-",580.3256,520.3045,224.0682,"295.2279;277.2173",NA,"295.2279;277.2173",NA,NA,NA,"LPC(18:2)"
"LPC 18:2<OOH>","[M+HCOO]-",596.3205,536.2994,224.0682,"311.2228;293.2122",NA,"311.2228;293.2122",NA,NA,NA,"LPC(18:2)"
"LPC 12:1<oxo,COOH>","[M-H]-",480.2004,NA,224.0682,"241.1081;223.0976",NA,"241.1081;223.0976",NA,NA,NA,"LPC(18:2); LPC(18:3)"
"LPC 12:1<OH,COOH>","[M-H]-",482.2161,NA,224.0682,"243.1238;225.1132",NA,"243.1238;225.1132",NA,NA,NA,"LPC(18:2); LPC(18:3)"
"LPC 12:1<OOH,COOH>","[M-H]-",498.211,NA,224.0682,"259.1187;241.1081",NA,"259.1187;241.1081",NA,NA,NA,"LPC(18:2); LPC(18:3)"
"LPC 12:1<COOH>","[M-H]-",466.2211,NA,224.0682,"227.1289;209.1183",NA,"227.1289;209.1183",NA,NA,NA,"LPC(18:2); LPC(18:3)"
"LPC 12:1<2oxo>","[M+HCOO]-",510.211,450.1898,224.0682,"225.1132",NA,"225.1132",NA,NA,NA,"LPC(18:2); LPC(18:3)"
"LPC 12:1<OH,oxo>","[M+HCOO]-",512.2266,452.2055,224.0682,"227.1289;209.1183",NA,"227.1289;209.1183",NA,NA,NA,"LPC(18:2); LPC(18:3)"
"LPC 12:1<oxo,OOH>","[M+HCOO]-",528.2215,468.2004,224.0682,"243.1238;225.1132",NA,"243.1238;225.1132",NA,NA,NA,"LPC(18:2); LPC(18:3)"
"LPC 12:1<oxo>","[M+HCOO]-",496.2317,436.2106,224.0682,"211.134",NA,"211.134",NA,NA,NA,"LPC(18:2); LPC(18:3)"
