"k","Cluster","Mean_Jaccard","N_dissolved","N_recovered","Prop_dissolved","Prop_recovered","Interpretation"
2,1,0.985,12,971,0.012,0.971,"Highly stable"
2,2,0.991,2,985,0.002,0.985,"Highly stable"
3,1,0.871,62,733,0.062,0.733,"Highly stable"
3,2,0.645,455,497,0.455,0.497,"Pattern indicated, not reliable"
3,3,0.913,10,844,0.01,0.844,"Highly stable"
4,1,0.703,453,525,0.453,0.525,"Pattern indicated, not reliable"
4,2,0.816,221,775,0.221,0.775,"Stable"
4,3,0.862,75,680,0.075,0.68,"Highly stable"
4,4,0.938,6,908,0.006,0.908,"Highly stable"
5,1,0.838,181,816,0.181,0.816,"Stable"
5,2,0.748,319,613,0.319,0.613,"Pattern indicated, not reliable"
5,3,0.842,25,683,0.025,0.683,"Stable"
5,4,0.644,359,641,0.359,0.641,"Pattern indicated, not reliable"
5,5,0.809,208,561,0.208,0.561,"Stable"
6,1,0.634,511,476,0.511,0.476,"Pattern indicated, not reliable"
6,2,0.676,412,275,0.412,0.275,"Pattern indicated, not reliable"
6,3,0.642,358,642,0.358,0.642,"Pattern indicated, not reliable"
6,4,0.857,151,849,0.151,0.849,"Highly stable"
6,5,0.802,137,620,0.137,0.62,"Stable"
6,6,0.753,323,624,0.323,0.624,"Stable"
