"k","Cluster","Mean_Jaccard","N_dissolved","N_recovered","Prop_dissolved","Prop_recovered","Interpretation"
2,1,0.983,0,998,0,0.998,"Highly stable"
2,2,0.989,0,1000,0,1,"Highly stable"
3,1,0.638,371,461,0.371,0.461,"Pattern indicated, not reliable"
3,2,0.872,15,793,0.015,0.793,"Highly stable"
3,3,0.843,7,731,0.007,0.731,"Stable"
4,1,0.965,30,964,0.03,0.964,"Highly stable"
4,2,0.883,7,850,0.007,0.85,"Highly stable"
4,3,0.983,5,967,0.005,0.967,"Highly stable"
4,4,0.833,56,740,0.056,0.74,"Stable"
5,1,0.853,43,700,0.043,0.7,"Highly stable"
5,2,0.785,173,601,0.173,0.601,"Stable"
5,3,0.808,258,675,0.258,0.675,"Stable"
5,4,0.998,0,1000,0,1,"Highly stable"
5,5,0.989,0,996,0,0.996,"Highly stable"
6,1,0.988,0,1000,0,1,"Highly stable"
6,2,0.897,118,813,0.118,0.813,"Highly stable"
6,3,0.911,0,887,0,0.887,"Highly stable"
6,4,0.762,227,589,0.227,0.589,"Stable"
6,5,0.652,331,317,0.331,0.317,"Pattern indicated, not reliable"
6,6,0.825,155,705,0.155,0.705,"Stable"
7,1,0.817,229,688,0.229,0.688,"Stable"
7,2,0.666,378,416,0.378,0.416,"Pattern indicated, not reliable"
7,3,0.923,3,969,0.003,0.969,"Highly stable"
7,4,0.905,58,875,0.058,0.875,"Highly stable"
7,5,0.823,104,675,0.104,0.675,"Stable"
7,6,0.978,0,998,0,0.998,"Highly stable"
7,7,0.969,39,946,0.039,0.946,"Highly stable"
8,1,0.971,5,965,0.005,0.965,"Highly stable"
8,2,0.952,21,939,0.021,0.939,"Highly stable"
8,3,0.624,402,353,0.402,0.353,"Pattern indicated, not reliable"
8,4,0.839,71,720,0.071,0.72,"Stable"
8,5,0.905,113,836,0.113,0.836,"Highly stable"
8,6,0.697,214,391,0.214,0.391,"Pattern indicated, not reliable"
8,7,0.986,14,978,0.014,0.978,"Highly stable"
8,8,0.887,57,844,0.057,0.844,"Highly stable"
9,1,0.949,53,917,0.053,0.917,"Highly stable"
9,2,0.776,108,628,0.108,0.628,"Stable"
9,3,0.678,53,235,0.053,0.235,"Pattern indicated, not reliable"
9,4,0.967,13,965,0.013,0.965,"Highly stable"
9,5,0.643,400,307,0.4,0.307,"Pattern indicated, not reliable"
9,6,0.834,61,698,0.061,0.698,"Stable"
9,7,0.703,275,521,0.275,0.521,"Pattern indicated, not reliable"
9,8,0.991,11,984,0.011,0.984,"Highly stable"
9,9,0.438,784,174,0.784,0.174,"Not a valid cluster"
