"Polarity","Alignment.ID","Adduct.type","Average.Rt.min.","Metabolite.curated","Ontology","H2O2_0h_1","H2O2_0h_2","H2O2_0h_3","H2O2_1min_1","H2O2_1min_2","H2O2_1min_3","H2O2_20min_1","H2O2_20min_2","H2O2_20min_3","H2O2_4h_1","H2O2_4h_2","H2O2_4h_3","H2O2_24h_1","H2O2_24h_2","H2O2_24h_3","H2O2_72h_1","H2O2_72h_2","H2O2_72h_3"
"Neg",61180,"[M-H]-",23.249,"CL 14:0_16:0_16:0_18:1","CL",88753,346016,292705,226982,164564,167701,84462,106582,85840,185595,440049,429084,390463,358832,374781,170574,467845,326072
"Neg",61102,"[M-H]-",22.147,"CL 14:0_16:1_16:1_18:1","CL",580242,632699,558791,584147,436290,327692,365696,251379,475987,691743,472573,801871,525218,660147,681050,672669,858682,744498
"Neg",61146,"[M-H]-",22.722,"CL 14:0_18:1_16:0_16:1","CL",375742,318052,448753,452848,320663,420900,273695,219166,392533,469842,359262,429798,662303,234873,610211,575983,685048,508950
"Neg",62045,"[M-H]-",23.48,"CL 15:0_18:1_16:0_18:1","CL",220118,334983,149262,268873,122888,299238,152594,95830,203668,270636,453698,429408,253369,231598,340283,266931,401959,358030
"Neg",61787,"[M-H]-",23.729,"CL 16:0_16:0_16:0_18:1","CL",505773,794733,701852,643228,484635,633218,323313,322521,434082,652104,1027446,907263,766480,716531,728223,645058,882837,726747
"Neg",61750,"[M-H]-",23.246,"CL 16:0_16:1_16:0_18:1","CL",1639218,2299340,1963287,1983623,1321517,2030220,1159387,1116687,1421192,1897608,2885371,2891316,2536500,2118085,2414322,2021628,2785694,2329467
"Neg",61702,"[M-H]-",22.73,"CL 16:0_16:1_16:1_18:1 (a)","CL",1922934,2579506,2314503,2308467,1595779,2169728,1417343,1221990,1778473,2866762,3123281,3261819,3306715,2415399,2979675,2583836,3254514,2639323
"Neg",61701,"[M-H]-",22.989,"CL 16:0_16:1_16:1_18:1 (b)","CL",217785,269527,328416,231967,191474,176962,175199,62958,145365,106359,373678,317232,129597,304655,114959,214157,168611,210858
"Neg",62002,"[M-H]-",23.002,"CL 16:0_17:1_16:1_18:1","CL",557102,729917,665607,703090,457274,647368,348934,161189,524261,675189,936283,809148,817268,730757,705726,691303,862676,690927
"Neg",62336,"[M-H]-",23.712,"CL 16:0_18:1_16:0_18:1 (a)","CL",5002224,6857758,5656873,5903906,3964798,5680287,3079556,3225710,4184788,5693164,8516620,8234611,6730250,6377593,6693320,5654480,7694115,6344829
"Neg",62339,"[M-H]-",24.508,"CL 16:0_18:1_16:0_18:1 (b)","CL",41185,40486,259960,36849,20727,26080,9280,14959,19478,27905,63366,29885,26747,54495,26686,45530,33534,26179
"Neg",62338,"[M-H]-",24.871,"CL 16:0_18:1_16:0_18:1 (c)","CL",4237,4511,20046,8657,11020,5216,12600,0,0,74251,30550,24621,2724,15163,18352,5193,15884,60288
"Neg",62296,"[M-H]-",23.243,"CL 16:0_18:1_16:1_18:1","CL",5194545,7290138,5810910,6114853,4488886,5807319,3633097,3395849,4671398,6279686,8663274,8508475,7579731,6730638,7129041,6309257,8303428,6743359
"Neg",62654,"[M-H]-",23.924,"CL 16:0_18:1_17:0_18:1","CL",155317,351160,287822,175714,253195,340401,33463,53874,142952,276129,508633,436829,387507,312120,369232,312931,473047,344891
"Neg",62606,"[M-H]-",23.476,"CL 16:0_18:1_17:1_18:1","CL",614576,787928,659435,745615,515686,693355,383219,307433,493057,749230,1035222,973305,872470,751034,875052,713547,989730,710777
"Neg",62989,"[M-H]-",24.146,"CL 16:0_18:1_18:0_18:1","CL",434928,555870,520923,527391,235778,520403,141808,247912,285042,484570,781403,746628,553199,582154,606356,490254,687367,539711
"Neg",62943,"[M-H]-",23.716,"CL 16:0_18:1_18:1_18:1 (a)","CL",3038189,4179720,3555502,3659005,2543637,3491072,1880065,1996846,2368038,3563540,4968690,4819072,4340712,3894455,4016403,3613759,4636036,4020371
"Neg",62941,"[M-H]-",23.989,"CL 16:0_18:1_18:1_18:1 (b)","CL",117007,120029,99352,117691,97990,89674,91334,72122,159916,96167,453214,161165,119613,109712,117329,250482,137680,112601
"Neg",62942,"[M-H]-",24.871,"CL 16:0_18:1_18:1_18:1 (c)","CL",16901,5601,0,9818,0,4641,11017,0,0,50461,3818,3939,3089,4271,0,6701,20201,35042
"Neg",62893,"[M-H]-",23.67,"CL 16:0_18:2_18:1_18:1","CL",153050,208945,332359,546196,171409,422685,376153,114800,123979,325580,251268,847644,260926,688481,182918,263258,942261,785397
"Neg",61053,"[M-H]-",21.514,"CL 16:1_16:1_16:1_16:1","CL",289904,204591,286499,273254,169910,245173,172319,127806,269314,396621,433082,305543,252328,373655,335746,353883,480596,321426
"Neg",61655,"[M-H]-",22.166,"CL 16:1_16:1_16:1_18:1","CL",2800232,3070725,2947493,3035120,2195725,2920547,2041816,1498525,2476602,3378257,3915739,4000778,2163611,3313984,3280910,3358436,4208004,3675765
"Neg",61619,"[M-H]-",21.588,"CL 16:1_16:1_16:1_18:2","CL",346958,558638,562620,579398,345727,554403,197175,161305,439943,603349,658880,674617,658472,610627,673470,566239,702668,537045
"Neg",61957,"[M-H]-",22.471,"CL 16:1_17:1_17:1_17:1","CL",592140,675707,683675,664943,539017,620946,323676,276865,534397,863358,979392,1020141,850569,731981,570629,719617,892134,639933
"Neg",62244,"[M-H]-",22.737,"CL 16:1_18:1_16:1_18:1 (a)","CL",7511154,8615950,8431940,7824628,6455649,7662823,5784628,4328480,7289107,10838911,12849196,11420795,10155488,8571912,10429263,9202513,12178121,9254891
"Neg",62245,"[M-H]-",22.986,"CL 16:1_18:1_16:1_18:1 (b)","CL",1143164,1440719,1358941,1154989,290606,918967,243944,576871,370796,410163,627007,1112973,1241497,899862,426149,691864,467032,977536
"Neg",62243,"[M-H]-",23.724,"CL 16:1_18:1_16:1_18:1 (c)","CL",41176,39463,113065,69683,55348,76486,19943,22944,27306,42987,64901,172028,45095,108033,157957,52897,120296,83834
"Neg",62207,"[M-H]-",22.226,"CL 16:1_18:1_16:1_18:2 (a)","CL",3763237,4034766,3909620,3823255,3076635,3869263,2612274,1837602,3129905,4583221,4961419,5405957,4933773,4285391,3963168,4306514,5217991,4604901
"Neg",62206,"[M-H]-",23.248,"CL 16:1_18:1_16:1_18:2 (b)","CL",205027,150718,152208,152622,102625,143564,67237,77485,76261,221331,207758,315944,296510,169025,329109,219253,377255,280999
"Neg",62736,"[M-H]-",22.094,"CL 16:1_18:1_16:1_20:4","CL",548299,941821,421559,707937,607800,847925,322024,295101,402367,173586,668457,675829,814772,1011456,945241,883198,602870,1068558
"Neg",62561,"[M-H]-",23.01,"CL 16:1_18:1_17:1_18:1","CL",1819739,2240479,1890120,1936893,1413202,1788435,1058914,983349,1468019,1938676,2782329,2478557,2369032,1932343,2060778,1931990,2426390,2030548
"Neg",62509,"[M-H]-",22.522,"CL 16:1_18:1_17:1_18:2","CL",647857,685320,719695,684661,488055,659991,413782,235021,545829,746932,946146,945684,806261,732968,926387,753068,917425,730651
"Neg",62890,"[M-H]-",23.261,"CL 16:1_18:1_18:1_18:1","CL",8527838,11446954,9054356,9747656,6950356,9340469,5395377,5093702,7128644,10091906,13831009,12867958,11598297,10173277,10912000,9692447,12546539,10372184
"Neg",62845,"[M-H]-",22.785,"CL 16:1_18:1_18:1_18:2 (a)","CL",7472790,10655355,10079634,9454456,6774906,9337743,5872736,5013869,7937973,10978961,14602139,11405461,11687313,9470780,10605620,9553006,12230126,9066157
"Neg",62844,"[M-H]-",23.159,"CL 16:1_18:1_18:1_18:2 (b)","CL",700659,900858,874346,590182,435851,672302,191036,420850,190257,833337,352236,701967,856757,930236,979720,661694,762711,847906
"Neg",62846,"[M-H]-",23.709,"CL 16:1_18:1_18:1_18:2 (c)","CL",712643,946865,836596,866941,440021,866489,449640,445842,567749,857644,1303583,1109835,1090486,782905,933364,920433,1226780,984761
"Neg",62795,"[M-H]-",22.701,"CL 16:1_18:1_18:2_18:2 (a)","CL",744154,965665,474265,505773,492155,738628,378149,198057,419500,1216856,1424346,1264026,1260795,695834,952819,828096,783087,1040877
"Neg",62796,"[M-H]-",23.24,"CL 16:1_18:1_18:2_18:2 (b)","CL",737265,889982,713231,855437,514608,748030,430053,329620,336178,747409,1092581,1027458,806848,861775,943286,775433,506484,811167
"Neg",63372,"[M-H]-",22.141,"CL 16:1_18:1_18:2_20:4","CL",1078995,1084293,1079955,1027196,921564,1113220,704712,525909,591365,1264901,1394306,1478389,828262,1147780,1046262,1165151,1409454,984348
"Neg",62173,"[M-H]-",21.681,"CL 16:1_18:2_16:1_18:2 (a)","CL",481321,259826,564131,542221,335437,580162,330793,268092,238411,685786,781838,754961,744888,597066,677066,518250,757725,664024
"Neg",62172,"[M-H]-",22.726,"CL 16:1_18:2_16:1_18:2 (b)","CL",143097,242190,147183,168860,91027,140189,79249,80568,139057,160172,157254,342290,330346,168501,141247,276084,343400,272676
"Neg",62692,"[M-H]-",21.521,"CL 16:1_18:2_16:1_20:4","CL",232394,202377,133228,170101,86792,289506,83119,60754,204019,178538,287919,400528,231267,279655,138779,258190,431139,268473
"Neg",62797,"[M-H]-",22.304,"CL 16:1_18:2_18:1_18:2","CL",2473272,2884445,2496925,2612011,2207774,2558376,1635673,617231,1246644,2996889,3516983,3738284,2998294,2935865,2416653,2702112,3545280,2948629
