"Polarity","Adduct.type","Average.Rt.min.","Average.Mz","Metabolite.curated","Ontology","Alignment.ID"
"Neg","[M+HCOO]-",14.873,806.59119,"PC O-34:1<OH>","OxEtherPC",38819
"Neg","[M+HCOO]-",16.389,834.62305,"PC O-36:1<OH>","OxEtherPC",40233
"Neg","[M+HCOO]-",1.117,554.30975,"LPC 16:1<OH>","OxLPC",23956
"Neg","[M+HCOO]-",0.922,554.30994,"LPC 16:1<OH>","OxLPC",23957
"Neg","[M+HCOO]-",1.128,582.34125,"LPC 18:1<OH>","OxLPC",25730
"Neg","[M+HCOO]-",1.11,580.3255,"LPC 18:1<oxo>","OxLPC",25564
"Neg","[M-H]-",1.124,516.27295,"LPE 20:3<oxo>","OxLPE",21587
"Neg","[M-H]-",1.122,542.28882,"LPE 22:5<OH>","OxLPE",23235
"Neg","[M+HCOO]-",12.406,792.53809,"PC 16:0_16:1<OH>","OxPC",38011
"Neg","[M+HCOO]-",11.055,792.53857,"PC 16:0_16:1<OH>","OxPC",38012
"Neg","[M+HCOO]-",9.972,792.53912,"PC 16:0_16:1<OH>","OxPC",38013
"Neg","[M+HCOO]-",10.188,792.53931,"PC 16:0_16:1<OH>","OxPC",38014
"Neg","[M+HCOO]-",9.546,792.53949,"PC 16:0_16:1<OH>","OxPC",38015
"Neg","[M+HCOO]-",10.532,792.53967,"PC 16:0_16:1<OH>","OxPC",38016
"Neg","[M+HCOO]-",9.534,808.53442,"PC 16:0_16:1<OOH>","OxPC",38918
"Neg","[M+HCOO]-",9.448,790.52344,"PC 16:0_16:1<oxo>","OxPC",37901
"Neg","[M+HCOO]-",9.785,790.52374,"PC 16:0_16:1<oxo>","OxPC",37902
"Neg","[M+HCOO]-",9.578,790.5238,"PC 16:0_16:1<oxo>","OxPC",37903
"Neg","[M+HCOO]-",11.696,846.48193,"PC 33:4<OH,oxo,OOH>","OxPC",40836
"Neg","[M+HCOO]-",11.09,820.57043,"PC 16:0_18:1<OH>","OxPC",39503
"Neg","[M+HCOO]-",10.848,820.57062,"PC 16:0_18:1<OH>","OxPC",39504
"Neg","[M+HCOO]-",10.056,820.5708,"PC 16:0_18:1<OH>","OxPC",39507
"Neg","[M+HCOO]-",10.373,836.56537,"PC 16:0_18:1<OOH>","OxPC",40331
"Neg","[M+HCOO]-",9.999,836.56537,"PC 16:0_18:1<OOH>","OxPC",40332
"Neg","[M+HCOO]-",10.247,836.56537,"PC 16:0_18:1<OOH>","OxPC",40333
"Neg","[M+HCOO]-",10.657,818.55493,"PC 16:0_18:1<oxo>","OxPC",39401
"Neg","[M+HCOO]-",10.237,818.55493,"PC 16:0_18:1<oxo>","OxPC",39402
"Neg","[M+HCOO]-",10.09,818.55493,"PC 16:0_18:1<oxo>","OxPC",39403
"Neg","[M+HCOO]-",10.424,818.55511,"PC 16:0_18:1<oxo>","OxPC",39405
"Neg","[M+HCOO]-",10.959,818.55511,"PC 16:0_18:1<oxo>","OxPC",39407
"Neg","[M+HCOO]-",9.214,832.53448,"PC 16:0_18:3<2OH>","OxPC",40104
"Neg","[M+HCOO]-",12.602,874.51324,"PC 35:4<OH,oxo,OOH>","OxPC",42219
"Neg","[M+HCOO]-",12.841,874.51343,"PC 16:0_19:4<OH,oxo,OOH>","OxPC",42220
"Neg","[M-H]-",11.376,664.41901,"PC 16:0_9:0<COOH>","OxPC",30767
"Neg","[M-H]-",4.455,664.41943,"PC 16:0_9:0<COOH>","OxPC",30770
"Neg","[M-H]-",11.606,664.41949,"PC 25:0<COOH>","OxPC",30773
"Neg","[M+HCOO]-",6.392,694.42975,"PC 16:0_9:0<oxo>","OxPC",32408
"Neg","[M+HCOO]-",6.195,694.42981,"PC 16:0_9:0<oxo>","OxPC",32409
"Neg","[M+HCOO]-",9.57,834.5495,"PC 16:1_18:1<OOH>","OxPC",40207
"Neg","[M+HCOO]-",9.752,834.55023,"PC 16:1_18:1<OOH>","OxPC",40215
"Neg","[M+HCOO]-",14.083,902.54486,"PC 37:4<OH,oxo,OOH>","OxPC",43433
"Neg","[M+HCOO]-",12.301,860.49744,"PC 34:4<OH,oxo,OOH>","OxPC",41516
"Neg","[M+HCOO]-",11.774,872.49774,"PC 35:5<OH,oxo,OOH>","OxPC",42118
"Neg","[M+HCOO]-",14.871,846.58313,"PC 36:2<OH>","OxPC",40857
"Neg","[M+HCOO]-",11.193,846.58636,"PC 18:1_18:1<OH>","OxPC",40863
"Neg","[M+HCOO]-",10.92,846.58636,"PC 18:1_18:1<OH>","OxPC",40864
"Neg","[M+HCOO]-",10.332,862.58075,"PC 18:1_18:1<OOH>","OxPC",41637
"Neg","[M+HCOO]-",10.077,862.58118,"PC 18:1_18:1<OOH>","OxPC",41640
"Neg","[M+HCOO]-",10.429,862.58118,"PC 18:1_18:1<OOH>","OxPC",41641
"Neg","[M+HCOO]-",10.739,844.57019,"PC 18:1_18:1<oxo>","OxPC",40747
"Neg","[M+HCOO]-",10.465,844.57037,"PC 18:1_18:1<oxo>","OxPC",40748
"Neg","[M+HCOO]-",12.674,900.52881,"PC 37:5<OH,oxo,OOH>","OxPC",43332
"Neg","[M+HCOO]-",12.891,900.52893,"PC 37:5<OH,oxo,OOH>","OxPC",43333
"Neg","[M+HCOO]-",11.721,868.53076,"PC 37:5<OH,oxo>","OxPC",41917
"Neg","[M+HCOO]-",12.04,872.49872,"PC 35:4<2oxo,OOH>","OxPC",42120
"Neg","[M-H]-",10.825,818.51624,"PC 34:2<OOH,COOH>","OxPC",39393
"Neg","[M+HCOO]-",13.093,880.56799,"PC 39:5<oxo>","OxPC",42499
"Neg","[M+HCOO]-",12.866,878.55286,"PC 39:6<oxo>","OxPC",42416
"Neg","[M-H]-",14.012,774.52417,"PE 36:2<2OH>","OxPE",37007
"Neg","[M-H]-",13.984,784.54889,"PE 18:0_20:2<oxo>","OxPE",37585
"Neg","[M-H]-",12.883,832.53265,"PE 38:3<2OH,OOH>","OxPE",40102
"Neg","[M-H]-",12.357,788.50635,"PE 36:3<OH,OOH>","OxPE",37779
"Neg","[M-H]-",15.034,802.56061,"PE 38:2<OOH>","OxPE",38565
"Neg","[M-H]-",13.725,784.5481,"PE 38:2<oxo>","OxPE",37583
"Neg","[M-H]-",11.827,830.51617,"PE 38:4<2OH,OOH>","OxPE",39991
"Neg","[M-H]-",12.931,748.45929,"PE 36:6<oxo>","OxPE",35541
"Neg","[M-H]-",14.036,792.51685,"PE 39:5<oxo>","OxPE",38007
