Ontology,Adduct.type,Exact.mass,Stock.cont.uM,Volume.used.uL,Volume.for.recs.uL
PC,[M+H]+,PC 15:0_18:1(d7),132.7827276,0.5,150
LPC,[M+H]+,LPC 18:1(d7),189.1360266,0.5,150
PE,[M-H]-,PE 15:0_18:1(d7),140.6410419,0.5,150
PE,[M+H]+,PE 15:0_18:1(d7),140.6410419,0.5,150
LPE,[M-H]-,LPE 18:1(d7),205.4907118,0.5,150
PG,[M-H]-,PG 15:0_18:1(d7),130.886626,0.5,150
PI,[M-H]-,PI 15:0_18:1(d7),118.0456364,0.5,150
PS,[M-H]-,PS 15:0_18:1(d7),128.696816,0.5,150
TG,[M+NH4]+,TG 14:0-16:1-14:0(d5),1325.857,0.125,150
DG,[M+NH4]+,DG 15:0_18:1(d7),170.073812,0.5,150
SM,[M+HCOO]-,SM 18:1;O2/18:1(d9),135.4793259,0.5,150
Cer,[M+HCOO]-,Cer 18:1(d7)-15:0,188.3522941,0.5,150
CL,[M-H]-,CL 18:2_18:2_18:2_18:2(d5),671.5826517,0.5,150
FA,[M-H]-,FA 18:1(d17),5,0.5,150
EtherPE,[M+H]+,PE 15:0_18:1(d7),140.6410419,0.5,150
EtherPE,[M-H]-,PE 15:0_18:1(d7),140.6410419,0.5,150
EtherPC,[M+H]+,PC 15:0_18:1(d7),132.7827276,0.5,150
EtherPG,[M-H]-,PG 15:0_18:1(d7),130.886626,0.5,150
EtherPI,[M-H]-,PI 15:0_18:1(d7),118.0456364,0.5,150
EtherPS,[M-H]-,PS 15:0_18:1(d7),128.696816,0.5,150
EtherLPE,[M+H]+,LPE 18:1(d7),205.4907118,0.5,150
EtherLPE,[M-H]-,LPE 18:1(d7),205.4907118,0.5,150
EtherLPC,[M+H]+,LPC 18:1(d7),189.1360266,0.5,150
OxEtherPE,[M+H]+,PE 15:0_18:1(d7),140.6410419,0.5,150
OxEtherPE,[M-H]-,PE 15:0_18:1(d7),140.6410419,0.5,150
OxEtherPC,[M+H]+,PC 15:0_18:1(d7),132.7827276,0.5,150
OxEtherPC,[M+HCOO]-,PC 15:0_18:1(d7),132.7827276,0.5,150
OxEtherPG,[M-H]-,PG 15:0_18:1(d7),130.886626,0.5,150
OxEtherPI,[M-H]-,PI 15:0_18:1(d7),118.0456364,0.5,150
OxEtherPS,[M-H]-,PS 15:0_18:1(d7),128.696816,0.5,150
OxEtherLPE,[M+H]+,LPE 18:1(d7),205.4907118,0.5,150
OxEtherLPE,[M-H]-,LPE 18:1(d7),205.4907118,0.5,150
OxEtherLPC,[M+H]+,LPC 18:1(d7),189.1360266,0.5,150
OxPC,[M+H]+,PC 15:0_18:1(d7),132.7827276,0.5,150
OxLPC,[M+H]+,LPC 18:1(d7),189.1360266,0.5,150
OxPE,[M-H]-,PE 15:0_18:1(d7),140.6410419,0.5,150
OxPE,[M+H]+,PE 15:0_18:1(d7),140.6410419,0.5,150
OxLPE,[M-H]-,LPE 18:1(d7),205.4907118,0.5,150
OxPG,[M-H]-,PG 15:0_18:1(d7),130.886626,0.5,150
OxPI,[M-H]-,PI 15:0_18:1(d7),118.0456364,0.5,150
OxPS,[M-H]-,PS 15:0_18:1(d7),128.696816,0.5,150
OxPC,[M-H]-,PC 15:0_18:1(d7),132.7827276,0.5,150
OxPC,[M+HCOO]-,PC 15:0_18:1(d7),132.7827276,0.5,150
